layer,mean_attribution,mean_abs_attribution
0,0.8611562628495065,1.2667252390008223
1,1.1551706414473684,1.4741981907894737
2,1.2995027240953947,1.645289370888158
3,1.6699411492598684,1.943102384868421
4,1.79840087890625,2.1393239874588814
5,2.0546955309416117,2.2861761795847038
6,2.1010324578536186,2.3140837016858553
7,2.2036976061369242,2.292148790861431
8,2.3273508172286186,2.422983269942434
9,2.4423699629934212,2.545088918585526
10,2.8070068359375,2.9052798622532894
11,2.960108706825658,3.0487397846422697
12,3.3965421977796053,3.5804828844572367
13,3.713430304276316,3.9231342516447367
14,4.164936266447368,4.421566611842105
15,4.1425524259868425,4.441174958881579
16,4.5555676912006575,4.9124755859375
17,3.5129780016447367,4.249768708881579
18,4.905575400904605,5.076743678042763
19,5.292364823190789,5.606895045230263
20,5.330985621402138,5.553060431229441
21,4.711342259457237,5.707937140213816
22,5.529412520559211,5.605070415296052
23,5.5669202302631575,5.676500822368421
