paradigm,band,subset,n_verb_pairs,accuracy,mean_margin,margin_ci_lo,margin_ci_hi
passive_1,head,all,26,1.0,9.330236889995062,8.306722271041227,10.306539772508236
passive_1,head,both_lemmas_in_band,25,1.0,9.328182091712952,8.255164618194103,10.374035757184028
passive_1,tail,all,50,0.99,9.968569560568431,8.8308284450497,11.041967537314049
passive_1,tail,both_lemmas_in_band,21,1.0,10.558880754717393,9.35219707189771,11.805661108946273
passive_1,xtail,all,50,0.99,7.1780508738145,6.204486369708902,8.14275106769579
passive_1,xtail,both_lemmas_in_band,15,1.0,8.240330337387665,6.446275564027019,9.858516002419249
passive_2,head,all,26,1.0,6.890035427533663,5.757584014764199,8.016370777900402
passive_2,head,both_lemmas_in_band,25,1.0,7.060312061309815,5.901029124259948,8.20656182050705
passive_2,tail,all,50,0.99,7.887748136540177,7.0188820625119845,8.705616216877242
passive_2,tail,both_lemmas_in_band,21,1.0,7.751936337627869,6.567822478154475,8.982819172282083
passive_2,xtail,all,50,0.96,5.1419200715021,4.361669249443803,5.905599168831832
passive_2,xtail,both_lemmas_in_band,15,1.0,6.465628773071027,5.138607277352518,7.684882065731411
