paradigm,subset,metric,n_head,n_xtail,difference,ci_lo,ci_hi
passive_1,all,margin,26,50,2.152186016180562,0.763544022457836,3.522819448374122
passive_1,all,accuracy,26,50,0.010000000000000009,0.0,0.030000000000000027
passive_1,all,verb_margin,26,50,2.3330008132355013,1.1694357635780195,3.5482783202742354
passive_1,all,suffix_margin,26,50,-0.18081479705494052,-1.1132201432866546,0.704860473364914
passive_1,all,by_margin,26,50,1.1321578324872714,0.19626764663136909,2.08853087411477
passive_1,both_lemmas_in_band,margin,25,15,1.0878517543252872,-0.9245537936990136,3.1652024301708055
passive_1,both_lemmas_in_band,accuracy,25,15,0.0,0.0,0.0
passive_1,both_lemmas_in_band,verb_margin,25,15,1.624482772650663,-0.08222050990831686,3.3334566250156294
passive_1,both_lemmas_in_band,suffix_margin,25,15,-0.5366310183253762,-1.6690291560736172,0.6154619924925888
passive_1,both_lemmas_in_band,by_margin,25,15,1.2204088247815768,0.15566678603490192,2.3159455529848736
passive_2,all,margin,26,50,1.7481153560315628,0.36302255063675926,3.174536788711692
passive_2,all,accuracy,26,50,0.040000000000000036,0.0,0.09999999999999998
passive_2,all,verb_margin,26,50,2.3330008132355013,1.1694357635780195,3.5482783202742354
passive_2,all,suffix_margin,26,50,-0.5848854572039384,-1.5057029409591967,0.3003432753452888
passive_2,all,by_margin,26,50,0.0,0.0,0.0
passive_2,both_lemmas_in_band,margin,25,15,0.5946832882387874,-1.0565941660013047,2.3477350683347327
passive_2,both_lemmas_in_band,accuracy,25,15,0.0,0.0,0.0
passive_2,both_lemmas_in_band,verb_margin,25,15,1.624482772650663,-0.08222050990831686,3.3334566250156294
passive_2,both_lemmas_in_band,suffix_margin,25,15,-1.0297994844118754,-2.0474990733464558,-0.04592330217361451
passive_2,both_lemmas_in_band,by_margin,25,15,0.0,0.0,0.0
