paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_1,mean_margin,head,bet,appear,2.152186016180562,2.1575938922778013,0
passive_1,mean_margin,head,blame,struggle,2.152186016180562,2.2390201908961176,0
passive_1,mean_margin,head,celebrate,reply,2.152186016180562,2.0214557845011596,0
passive_1,mean_margin,head,confront,testify,2.152186016180562,2.1287096912279955,0
passive_1,mean_margin,head,crown,object,2.152186016180562,2.1548974377528074,0
passive_1,mean_margin,head,defend,participate,2.152186016180562,2.223324598731124,0
passive_1,mean_margin,head,earn,occur,2.152186016180562,2.0403486496821275,0
passive_1,mean_margin,head,exhibit,proceed,2.152186016180562,2.0992024762049555,0
passive_1,mean_margin,head,hate,listen,2.152186016180562,2.3285295659914853,0
passive_1,mean_margin,head,host,exist,2.152186016180562,1.9553516600147125,0
passive_1,mean_margin,head,impose,emerge,2.152186016180562,2.045962684811676,0
passive_1,mean_margin,head,include,happen,2.152186016180562,2.144223411740387,0
passive_1,mean_margin,head,insure,vanish,2.152186016180562,2.150131217898452,0
passive_1,mean_margin,head,introduce,arrive,2.152186016180562,2.235454228581511,0
passive_1,mean_margin,head,lease,apologize,2.152186016180562,2.1004209000483387,0
passive_1,mean_margin,head,lend,opt,2.152186016180562,2.1150850859895582,0
passive_1,mean_margin,head,load,respond,2.152186016180562,2.222972944439971,0
passive_1,mean_margin,head,measure,laugh,2.152186016180562,2.004777525128447,0
passive_1,mean_margin,head,rate,result,2.152186016180562,2.2381090015784144,0
passive_1,mean_margin,head,rob,belong,2.152186016180562,2.001940897168242,0
passive_1,mean_margin,head,score,remain,2.152186016180562,2.2105335933581225,0
passive_1,mean_margin,head,send,die,2.152186016180562,2.1172742444888,0
passive_1,mean_margin,head,sum,compete,2.152186016180562,2.4165883547678826,0
passive_1,mean_margin,head,target,lie,2.152186016180562,2.100134573639953,0
passive_1,mean_margin,head,thank,matter,2.152186016180562,2.230070360364043,0
passive_1,mean_margin,head,upgrade,complain,2.152186016180562,2.274723449410522,0
passive_1,mean_margin,xtail,blab,loll,2.152186016180562,2.132388172470397,0
passive_1,mean_margin,xtail,blaspheme,seethe,2.152186016180562,2.1864809502516804,0
passive_1,mean_margin,xtail,clout,grouse,2.152186016180562,2.0827931568147253,0
passive_1,mean_margin,xtail,crate,lumber,2.152186016180562,2.0694189422409437,0
passive_1,mean_margin,xtail,daub,resound,2.152186016180562,2.158224768232751,0
passive_1,mean_margin,xtail,debug,tingle,2.152186016180562,2.1834999732755866,0
passive_1,mean_margin,xtail,disabuse,sidle,2.152186016180562,2.1285325044430623,0
passive_1,mean_margin,xtail,disgorge,exult,2.152186016180562,2.185644533957918,0
passive_1,mean_margin,xtail,disquiet,goggle,2.152186016180562,2.1418756167392026,0
passive_1,mean_margin,xtail,doff,salivate,2.152186016180562,2.184960350585458,0
passive_1,mean_margin,xtail,edify,toddle,2.152186016180562,2.119329424108077,0
passive_1,mean_margin,xtail,espy,scram,2.152186016180562,2.0190660773612086,0
passive_1,mean_margin,xtail,extirpate,vegetate,2.152186016180562,2.0598318919489103,0
passive_1,mean_margin,xtail,filch,smolder,2.152186016180562,2.2120864519513974,0
passive_1,mean_margin,xtail,garland,banter,2.152186016180562,2.1461303822246727,0
passive_1,mean_margin,xtail,gull,desist,2.152186016180562,2.212415666175647,0
passive_1,mean_margin,xtail,guzzle,commiserate,2.152186016180562,2.1147884107562644,0
passive_1,mean_margin,xtail,heft,hibernate,2.152186016180562,2.1956642982941528,0
passive_1,mean_margin,xtail,immolate,vacillate,2.152186016180562,2.231878051523559,0
passive_1,mean_margin,xtail,incriminate,sulk,2.152186016180562,2.181867402910485,0
passive_1,mean_margin,xtail,lard,fizz,2.152186016180562,2.0556870840610575,0
passive_1,mean_margin,xtail,lather,slouch,2.152186016180562,2.12375525555127,0
passive_1,mean_margin,xtail,lug,drool,2.152186016180562,2.2031698598637632,0
passive_1,mean_margin,xtail,mistrust,coexist,2.152186016180562,2.171911116032483,0
passive_1,mean_margin,xtail,mulch,bustle,2.152186016180562,2.0514400458516464,0
passive_1,mean_margin,xtail,obviate,teem,2.152186016180562,2.255794723901843,0
passive_1,mean_margin,xtail,ogle,wallow,2.152186016180562,2.1237842527547945,0
passive_1,mean_margin,xtail,outshine,gape,2.152186016180562,2.086185695136596,0
passive_1,mean_margin,xtail,perm,fawn,2.152186016180562,2.281715028281326,0
passive_1,mean_margin,xtail,pigeonhole,hitchhike,2.152186016180562,2.115996137590397,0
passive_1,mean_margin,xtail,placate,crackle,2.152186016180562,2.1520739048992175,0
passive_1,mean_margin,xtail,prise,jut,2.152186016180562,2.0764640263573533,0
passive_1,mean_margin,xtail,rearm,totter,2.152186016180562,2.252830840522445,0
passive_1,mean_margin,xtail,recompense,leer,2.152186016180562,2.18987878559186,0
passive_1,mean_margin,xtail,redress,pant,2.152186016180562,2.1514973867273133,0
passive_1,mean_margin,xtail,regale,writhe,2.152186016180562,2.196134948179945,0
passive_1,mean_margin,xtail,reproach,whiz,2.152186016180562,2.1824444263533955,0
passive_1,mean_margin,xtail,reprove,remonstrate,2.152186016180562,2.025719808099737,0
passive_1,mean_margin,xtail,resupply,slog,2.152186016180562,2.2645029369634315,0
passive_1,mean_margin,xtail,shoo,quiver,2.152186016180562,2.09568694092172,0
passive_1,mean_margin,xtail,shoplift,eventuate,2.152186016180562,2.2641148613266457,0
passive_1,mean_margin,xtail,stopper,quack,2.152186016180562,2.1313368855887207,0
passive_1,mean_margin,xtail,suckle,defecate,2.152186016180562,2.0526985489104765,0
passive_1,mean_margin,xtail,sunder,eavesdrop,2.152186016180562,2.289843644451409,0
passive_1,mean_margin,xtail,swaddle,decamp,2.152186016180562,2.187702129964377,0
passive_1,mean_margin,xtail,tithe,putter,2.152186016180562,2.0285151043077194,0
passive_1,mean_margin,xtail,unlatch,burgeon,2.152186016180562,2.197075173422668,0
passive_1,mean_margin,xtail,wad,shimmer,2.152186016180562,2.073601468664558,0
passive_1,mean_margin,xtail,wag,bask,2.152186016180562,2.2618718307205894,0
passive_1,mean_margin,xtail,wallop,gloat,2.152186016180562,2.11899093176324,0
passive_1,accuracy,head,bet,appear,0.010000000000000009,0.010000000000000009,0
