band,paradigm,good_lemma,bad_lemma,bad_active_class,n_frames,good_lemma_zipf,bad_lemma_zipf,mean_lemma_zipf,mean_form_zipf,mean_margin,accuracy,verb_margin,suffix_margin,by_margin,good_verb_tokens,bad_verb_tokens
head,passive_1,bet,appear,simple_intransitive,2,4.79,4.85,4.82,4.8100000000000005,9.195039987564087,1.0,3.59375,5.601289987564087,0.5253292322158813,1,1
head,passive_1,blame,struggle,simple_intransitive,2,4.63,4.62,4.625,3.955,7.159382522106171,1.0,4.3115234375,2.8478590846061707,0.6057007312774658,1,1
head,passive_1,celebrate,reply,optional_preposition,2,4.49,4.5,4.495,4.26,12.598492681980133,1.0,8.8828125,3.715680181980133,0.8756301999092102,1,1
head,passive_1,confront,testify,clausal_complement,2,3.8,3.84,3.82,3.83,9.917145013809204,1.0,7.7734375,2.143707513809204,2.507928431034088,1,1
head,passive_1,crown,object,optional_preposition,2,4.56,4.56,4.56,3.575,9.262451350688934,1.0,7.4765625,1.7858888506889343,0.5255951881408691,1,1
head,passive_1,defend,participate,optional_preposition,2,4.47,4.42,4.445,4.005,7.551772326231003,1.0,4.92578125,2.625991076231003,1.8274249732494354,1,1
head,passive_1,earn,occur,simple_intransitive,2,4.48,4.47,4.475,4.5600000000000005,12.126171052455902,1.0,9.664062738418579,2.462108314037323,2.2646936774253845,1,1
head,passive_1,exhibit,proceed,simple_intransitive,2,4.16,4.18,4.17,3.865,10.654825389385223,1.0,8.67187488079071,1.982950508594513,-2.101450562477112,1,1
head,passive_1,hate,listen,optional_preposition,2,5.11,5.06,5.085,4.205,4.921648144721985,1.0,0.921875,3.999773144721985,4.600743532180786,1,1
head,passive_1,host,exist,simple_intransitive,2,4.77,4.73,4.75,4.27,14.251095794141293,1.0,10.26562511920929,3.985470674932003,2.9745640382170677,1,1
head,passive_1,impose,emerge,simple_intransitive,2,3.92,3.89,3.9050000000000002,4.16,11.985820174217224,1.0,10.911133050918579,1.074687123298645,0.4733637571334839,1,1
head,passive_1,include,happen,simple_intransitive,2,5.21,5.19,5.2,5.115,9.52930200099945,1.0,7.49609375,2.0332082509994507,-0.7148947715759277,1,1
head,passive_1,insure,vanish,simple_intransitive,2,3.4,3.39,3.395,3.705,9.381606847047806,1.0,4.2890625,5.092544347047806,3.156557261943817,1,1
head,passive_1,introduce,arrive,simple_intransitive,2,4.37,4.38,4.375,4.755,7.2485315799713135,1.0,4.265625,2.9829065799713135,1.0377780199050903,1,1
head,passive_1,lease,apologize,optional_preposition,2,4.17,4.16,4.165,3.625,10.624364793300629,1.0,8.404296875,2.2200679183006287,5.597915887832642,1,1
head,passive_1,lend,opt,optional_preposition,2,3.92,3.9,3.91,3.75,10.257760144770145,1.0,6.58984375,3.6679163947701454,0.4317512512207031,1,1
head,passive_1,load,respond,optional_preposition,2,4.58,4.53,4.555,4.255,7.560563683509827,1.0,7.6796876192092896,-0.11912393569946289,-0.5934911966323853,1,1
head,passive_1,measure,laugh,simple_intransitive,2,4.65,4.66,4.655,4.245,13.015449166297913,1.0,10.3125,2.7029491662979126,4.414840519428253,1,1
head,passive_1,rate,result,preferred_preposition,2,5.14,5.18,5.16,4.335,7.182162255048752,1.0,6.4921875,0.6899747550487518,-0.2345949411392212,1,1
head,passive_1,rob,belong,preferred_preposition,2,4.35,4.38,4.365,3.945,13.08636486530304,1.0,9.64599609375,3.4403687715530396,0.5586693286895752,1,1
head,passive_1,score,remain,simple_intransitive,2,4.83,4.83,4.83,4.625,7.87154746055603,1.0,5.6328125,2.2387349605560303,5.102262914180756,1,1
head,passive_1,send,die,simple_intransitive,2,5.11,5.07,5.09,5.18,10.203031182289124,1.0,10.929687142372131,-0.7266559600830078,1.339990496635437,1,1
head,passive_1,sum,compete,simple_intransitive,2,4.34,4.39,4.365,3.54,2.7201784253120422,1.0,2.3671875,0.35299092531204224,-1.7612344026565552,1,1
head,passive_1,target,lie,simple_intransitive,2,4.82,4.84,4.83,4.215,10.631522953510284,1.0,7.2734375,3.3580854535102844,5.505738854408264,1,1
head,passive_1,thank,matter,simple_intransitive,2,5.48,5.38,5.43,3.585,7.38312828540802,1.0,6.564453125,0.81867516040802,1.1653706431388855,1,1
head,passive_1,upgrade,complain,simple_intransitive,2,4.24,4.23,4.235,3.96,6.266801059246063,1.0,7.1328125,-0.8660114407539368,-0.06000840663909912,1,1
head,passive_2,bet,appear,simple_intransitive,2,4.79,4.85,4.82,4.8100000000000005,4.119079232215881,1.0,3.59375,0.5253292322158813,0.0,1,1
head,passive_2,blame,struggle,simple_intransitive,2,4.63,4.62,4.625,3.955,4.979724168777466,1.0,4.3115234375,0.6682007312774658,0.0,1,1
head,passive_2,celebrate,reply,optional_preposition,2,4.49,4.5,4.495,4.26,10.414692640304565,1.0,8.8828125,1.5318801403045654,0.0,1,1
head,passive_2,confront,testify,clausal_complement,2,3.8,3.84,3.82,3.83,7.218865633010864,1.0,7.7734375,-0.5545718669891357,0.0,1,1
head,passive_2,crown,object,optional_preposition,2,4.56,4.56,4.56,3.575,9.18965768814087,1.0,7.4765625,1.7130951881408691,0.0,1,1
head,passive_2,defend,participate,optional_preposition,2,4.47,4.42,4.445,4.005,7.003206014633179,1.0,4.92578125,2.0774247646331787,0.0,1,1
head,passive_2,earn,occur,simple_intransitive,2,4.48,4.47,4.475,4.5600000000000005,9.866256535053253,1.0,9.664062738418579,0.20219379663467407,0.0,1,1
head,passive_2,exhibit,proceed,simple_intransitive,2,4.16,4.18,4.17,3.865,6.101674437522888,1.0,8.67187488079071,-2.5702004432678223,0.0,1,1
head,passive_2,hate,listen,optional_preposition,2,5.11,5.06,5.085,4.205,3.210118532180786,1.0,0.921875,2.288243532180786,0.0,1,1
