paradigm,bad_form,n_sentences,accuracy,mean_margin
passive_1,arrived,51,0.7647058823529411,2.0618470928029105
passive_1,competed,45,0.7777777777777778,2.491535856326421
passive_1,complained,49,0.7346938775510204,2.0308374385729584
passive_1,died,57,0.8421052631578947,2.9878790509282496
passive_1,emerged,51,0.8823529411764706,3.302359652723752
passive_1,existed,53,0.8490566037735849,2.886891456812901
passive_1,laughed,43,0.8604651162790697,4.030537940041963
passive_1,lied,49,0.8979591836734694,3.901133624000513
passive_1,occurred,46,0.8913043478260869,3.798965069181893
passive_1,proceeded,52,0.9038461538461539,3.299879002169921
passive_1,progressed,59,0.7288135593220338,2.3242334595928758
passive_1,reacted,51,0.6470588235294118,1.4763619816478561
passive_1,remained,49,0.9183673469387755,4.166613741188633
passive_1,remarked,51,0.5294117647058824,1.098308904696822
passive_1,replied,47,0.5531914893617021,0.6846937823327298
passive_1,responded,47,0.7446808510638298,1.7640999974088465
passive_1,screamed,47,0.6808510638297872,1.2816852953760547
passive_1,struggled,54,0.9814814814814815,4.4778036114380315
passive_1,testified,42,0.6428571428571429,2.311517590568179
passive_1,vanished,57,0.8596491228070176,3.524792877156614
passive_2,arrived,57,0.47368421052631576,0.10039196307199043
passive_2,competed,45,0.8,2.1802749978171456
passive_2,complained,46,0.7608695652173914,2.253483487860016
passive_2,died,47,0.5957446808510638,0.26987017881362996
passive_2,emerged,49,0.8571428571428571,2.784629252492165
passive_2,existed,50,0.82,1.5629633235931397
passive_2,laughed,47,0.9361702127659575,3.7415723749931824
passive_2,lied,47,0.8723404255319149,2.344337894561443
passive_2,occurred,50,0.9,3.301573281288147
passive_2,proceeded,47,0.9574468085106383,4.0919603515178595
passive_2,progressed,61,0.7868852459016393,2.3584966148387214
passive_2,reacted,47,0.9148936170212766,3.29373555234138
passive_2,remained,47,0.8723404255319149,3.6515216345482684
passive_2,remarked,62,0.8548387096774194,2.6232373810583547
passive_2,replied,44,0.75,2.0851942707191813
passive_2,responded,43,0.8372093023255814,2.38749643571155
passive_2,screamed,47,0.8723404255319149,2.6314744594249317
passive_2,struggled,63,1.0,4.354036993450588
passive_2,testified,52,0.9423076923076923,3.064539317901318
passive_2,vanished,49,0.5102040816326531,0.13181038778655382
