paradigm,band,condition,n_sentences,n_good_forms,n_bad_forms,accuracy,mean_margin
passive_1,head,released,1000,280,20,0.787,2.7070667324414246
passive_1,head,crossed,102,26,26,0.8235294117647058,2.9148696463043784
passive_1,head,curated,52,26,26,1.0,9.330236889995062
passive_1,tail,released,1000,324,80,0.795,2.837247294188532
passive_1,tail,crossed,175,50,50,0.8057142857142857,2.8849180205698524
passive_1,tail,curated,100,50,50,0.99,9.968569560568431
passive_1,xtail,released,1000,124,99,0.7,1.8509572890802883
passive_1,xtail,crossed,412,50,50,0.7135922330097088,1.8863297794837175
passive_1,xtail,curated,100,50,50,0.99,7.1780508738145
passive_2,head,released,1000,280,20,0.816,2.4693578157238663
passive_2,head,crossed,88,26,26,0.8181818181818182,2.4660789221525192
passive_2,head,curated,52,26,26,1.0,6.890035427533663
passive_2,tail,released,1000,323,79,0.799,2.4426635561007717
passive_2,tail,crossed,155,50,50,0.8387096774193549,2.6035709760399657
passive_2,tail,curated,100,50,50,0.99,7.887748136540177
passive_2,xtail,released,1000,123,99,0.727,1.75360108487893
passive_2,xtail,crossed,407,50,50,0.7346437346437347,1.7282428903538385
passive_2,xtail,curated,100,50,50,0.96,5.1419200715021
