regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,causative,bad_to_good,resid_post_layer_18,19,440,5.164888694069602,5.282140558416193,-3.8833096569234673,1.2166193176399578
head,causative,bad_to_good,resid_post_layer_23,24,440,5.102094060724432,5.221186967329546,-3.8833096569234673,1.2166193176399578
head,causative,bad_to_good,resid_post_layer_22,23,440,4.865506813742898,4.936264315518466,-3.8833096569234673,1.2166193176399578
head,causative,good_to_bad,resid_post_layer_19,20,440,5.2060313831676135,5.4788274591619315,-1.2166193176399578,3.8833096569234673
head,causative,good_to_bad,resid_post_layer_23,24,440,5.102094060724432,5.221186967329546,-1.2166193176399578,3.8833096569234673
head,causative,good_to_bad,resid_post_layer_20,21,440,4.1247941450639205,4.524275901100852,-1.2166193176399578,3.8833096569234673
low,causative,bad_to_good,resid_post_layer_23,24,280,5.197452218191964,5.37738037109375,-4.343303577389036,0.8526785705770765
low,causative,bad_to_good,resid_post_layer_16,17,280,5.02538092476981,5.280741773332868,-4.343303577389036,0.8526785705770765
low,causative,bad_to_good,resid_post_layer_18,19,280,5.099171229771206,5.240573992047991,-4.343303577389036,0.8526785705770765
low,causative,good_to_bad,resid_post_layer_20,21,280,5.762892368861607,5.953517368861607,-0.8526785705770765,4.343303577389036
low,causative,good_to_bad,resid_post_layer_19,20,280,5.474389212472098,5.817930821010044,-0.8526785705770765,4.343303577389036
low,causative,good_to_bad,resid_post_layer_21,22,280,5.433231026785714,5.721261160714286,-0.8526785705770765,4.343303577389036
head,inchoative,bad_to_good,resid_post_layer_21,22,320,4.557787036895752,4.762763500213623,1.5551757786422968,5.686132802814245
head,inchoative,bad_to_good,resid_post_layer_20,21,320,4.157218170166016,4.3416084289550785,1.5551757786422968,5.686132802814245
head,inchoative,bad_to_good,resid_post_layer_23,24,320,4.1311180114746096,4.154978179931641,1.5551757786422968,5.686132802814245
head,inchoative,good_to_bad,resid_post_layer_18,19,320,4.445172691345215,4.45777530670166,-5.686132802814245,-1.5551757786422968
head,inchoative,good_to_bad,resid_post_layer_16,17,320,4.332353591918945,4.337089920043946,-5.686132802814245,-1.5551757786422968
head,inchoative,good_to_bad,resid_post_layer_14,15,320,4.237313842773437,4.257778930664062,-5.686132802814245,-1.5551757786422968
low,inchoative,bad_to_good,resid_post_layer_21,22,280,3.475732421875,3.6706856863839286,1.281026788694518,4.322209806953158
low,inchoative,bad_to_good,resid_post_layer_15,16,280,3.306489780970982,3.5746712820870536,1.281026788694518,4.322209806953158
low,inchoative,bad_to_good,resid_post_layer_20,21,280,2.9299558367047993,3.2658593314034596,1.281026788694518,4.322209806953158
low,inchoative,good_to_bad,resid_post_layer_18,19,280,3.5349081856863838,3.6280731201171874,-4.322209806953158,-1.281026788694518
low,inchoative,good_to_bad,resid_post_layer_22,23,280,3.1240225655691964,3.265451485770089,-4.322209806953158,-1.281026788694518
low,inchoative,good_to_bad,resid_post_layer_19,20,280,3.11606205531529,3.262727791922433,-4.322209806953158,-1.281026788694518
