control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,head,causative,head,freqblimp_curated,196,-2.6033163192320843,-2.5438456663063596,2.6033163192320843,0.059470652925724884,0.04001912170526933,0.08083545492619884,0.011550573653108378,0.16326530612244897
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,head,inchoative,head,freqblimp_curated,67,-4.60214552238806,-4.532182832262409,-0.7831156360569285,0.06996269012565043,0.030783582089552237,0.10961538828336276,0.024342779076009794,0.1044776119402985
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9630101554247799,2.1058673615358314,5.400510204081633,0.1428572061110516,0.1071429106653953,0.18112258035309461,0.05030268451848193,0.8979591836734694
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,-0.15625000596046448,4.878124988079071,0.056249994039535525,0.025,0.08749998807907104,0.028752753015920667,0.45
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.607886882055373,-4.552083333333333,-1.1994047846112932,0.05580354872204009,0.02901782308306013,0.0825892516544887,0.03579605387521146,0.047619047619047616
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,tail,freqblimp_curated,276,-1.2804574353107507,-1.2348278942315474,4.117300735003706,0.045629541079203285,0.031138003940650638,0.05939799371887656,0.01401563850937959,0.286231884057971
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.305817625057772,-4.241745291266051,0.9488993815655978,0.0640723337917208,0.03812893681556174,0.08962266999970442,0.014092248955990079,0.050314465408805034
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,xtail,freqblimp_curated,20,-1.790624988079071,-1.7312499761581421,3.3937500178813935,0.059375011920928956,-0.006249964237213135,0.11249998807907105,0.0029541913162416176,0.1
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.2630814036657645,-4.1925871954407805,1.2238372093023255,0.0704942082249841,0.03851745294970135,0.103197691052459,0.013196377217135279,0.046511627906976744
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,-4.248437482118606,-0.928125,0.07187500596046448,0.023437488079071044,0.1312500238418579,0.027664418555239524,0.0
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1400000047683716,1.1875000286102295,4.887499980926513,0.04750002384185791,0.0024999904632568358,0.0975000286102295,0.011412688288736232,0.8
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,tail,freqblimp_curated,240,-4.312109364072482,-4.247005211810271,-1.3276041701436043,0.06510415226221085,0.04869789679845174,0.08177082091569901,0.01959125614080144,0.0
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3408273432752211,1.4138938831768448,4.6229766109864485,0.07306653990162362,0.0526079170995479,0.09352515584273303,0.015233412668973297,0.7985611510791367
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,xtail,freqblimp_curated,20,-4.471874940395355,-4.3859374761581424,-1.096875,0.08593746423721313,0.045312488079071046,0.1312499761581421,0.02529366541048128,0.0
none@l18@verb_final_subtoken_to_subject_final_subtoken,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2435344827586208,1.3017241307373704,3.8445581680741805,0.058189647978749766,0.04256462948075656,0.07381464797874977,0.0213930564182065,0.7672413793103449
none@l18,17,head,causative,head,freqblimp_curated,196,-2.6033163192320843,4.2997050394817276,2.6033163192320843,6.903021363579497,6.325853020560984,7.484813456632653,1.5851848979783245,0.9591836734693877
none@l18,17,head,inchoative,head,freqblimp_curated,67,-4.60214552238806,2.4237406520701166,-0.7831156360569285,7.025886194029851,6.534327651515151,7.566566780821918,2.1681638691943497,0.8208955223880597
none@l18,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9630101554247799,9.303571409108688,5.400510204081633,7.340561224489796,6.790497439248221,7.939413255574752,2.641432244776703,1.0
none@l18,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,6.779687452316284,4.878124988079071,6.992187476158142,6.024999976158142,8.017187476158142,1.9458918372139329,1.0
none@l18,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.607886882055373,1.2083333475249154,-1.1994047846112932,5.816220238095238,5.012648815200443,6.646577392305646,2.013453134997823,0.8571428571428571
none@l18,17,low,causative,tail,freqblimp_curated,276,-1.2804574353107507,7.043591478164645,4.117300735003706,8.3240489087243,7.880264312135703,8.727804769475553,1.7394150657895906,0.967391304347826
none@l18,17,low,causative,tail,supplemental_v2_bad_verbs,159,-4.305817625057772,2.4327830196176685,0.9488993815655978,6.738600639427233,6.213443400724879,7.229952837686119,1.2450000306415077,0.8930817610062893
none@l18,17,low,causative,xtail,freqblimp_curated,20,-1.790624988079071,5.678125023841858,3.3937500178813935,7.46875,6.3328125,8.515625,1.2026129519429074,1.0
none@l18,17,low,causative,xtail,supplemental_v2_bad_verbs,43,-4.2630814036657645,2.6831395515175753,1.2238372093023255,6.94622095241103,6.134447696597078,7.718750011089236,1.3040096879408312,0.9302325581395349
none@l18,17,low,inchoative,low_gap,freqblimp_curated,20,-4.320312488079071,1.4593750059604644,-0.928125,5.779687511920929,4.970312511920929,6.631250011920929,1.846205971932017,0.8
none@l18,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,1.1400000047683716,7.35,4.887499980926513,6.21,5.255000019073487,7.207500019073486,1.3440628048657814,1.0
none@l18,17,low,inchoative,tail,freqblimp_curated,240,-4.312109364072482,0.7944010371963183,-1.3276041701436043,5.106510405242443,4.778776034712791,5.425911449392637,1.4953166308547496,0.6666666666666666
none@l18,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,1.3408273432752211,7.4685251661341825,4.6229766109864485,6.127697836580894,5.6348920897614185,6.625899273714573,1.5952805585079197,1.0
none@l18,17,low,inchoative,xtail,freqblimp_curated,20,-4.471874940395355,1.6500000357627869,-1.096875,6.121874976158142,5.446875,6.821874976158142,2.2428537386518097,0.95
none@l18,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,1.2435344827586208,6.851023704841219,3.8445581680741805,5.6074892159166,5.052532307032881,6.128232738067364,2.05847736433332,0.9913793103448276
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,head,causative,head,freqblimp_curated,196,-2.6033163192320843,-2.5725446349504044,2.6033163192320843,0.030771684281680048,-0.01801659805434091,0.08035715258851343,0.0146294215391018,0.17857142857142858
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,head,inchoative,head,freqblimp_curated,67,-4.60214552238806,-4.684235047938219,-0.7831156360569285,-0.08208952555015905,-0.1935634328358209,0.030809872586962203,-0.001077579358550061,0.11940298507462686
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,head,inchoative,head,supplemental_v2_bad_verbs,49,1.9630101554247799,2.2716836540066465,5.400510204081633,0.3086734985818668,0.2002551020408163,0.4285714674969109,0.0905649923422836,0.9183673469387755
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,low_gap,freqblimp_curated,20,-0.2125,-0.07812500596046448,4.878124988079071,0.1343749940395355,0.03437502384185791,0.2906249165534973,0.03934205629520977,0.45
none@l20@verb_final_subtoken_to_subject_final_subtoken,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,-4.607886882055373,-4.729166692211514,-1.1994047846112932,-0.121279810156141,-0.22023812929789224,-0.035714362348829,-0.017267962265115594,0.047619047619047616
