regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
head,causative,bad_to_good,resid_post_layer_16,17,440,5.099928970770402,5.219247151504863,1.0,-3.8833096569234673,1.2166193176399578,1.2166193176399578
head,causative,bad_to_good,resid_post_layer_17,18,440,5.099928970770402,5.219247151504863,1.0,-3.8833096569234673,1.2166193176399578,1.2166193176399578
head,causative,bad_to_good,resid_post_layer_18,19,440,5.099928970770402,5.219247151504863,1.0,-3.8833096569234673,1.2166193176399578,1.2166193176399578
head,causative,good_to_bad,resid_post_layer_16,17,440,5.099928970770402,5.219247151504863,1.0,-1.2166193176399578,3.8833096569234673,3.8833096569234673
head,causative,good_to_bad,resid_post_layer_17,18,440,5.099928970770402,5.219247151504863,1.0,-1.2166193176399578,3.8833096569234673,3.8833096569234673
head,causative,good_to_bad,resid_post_layer_18,19,440,5.099928970770402,5.219247151504863,1.0,-1.2166193176399578,3.8833096569234673,3.8833096569234673
low,causative,bad_to_good,resid_post_layer_23,24,280,5.19598214668887,5.374553579517773,1.0,-4.343303577389036,0.8526785705770765,0.8526785705770765
low,causative,bad_to_good,resid_post_layer_22,23,280,5.193973211305482,5.372544640728406,0.9998764515530847,-4.343303577389036,0.8506696407284056,0.8526785705770765
low,causative,bad_to_good,resid_post_layer_20,21,280,5.1858258915799,5.367299110123089,1.0077432552316845,-4.343303577389036,0.8425223188740867,0.8526785705770765
low,causative,good_to_bad,resid_post_layer_16,17,280,5.21953124829701,5.396316965988704,1.0059196217675683,-0.8526785705770765,4.366852672610964,4.343303577389036
low,causative,good_to_bad,resid_post_layer_17,18,280,5.2138392801795685,5.391071427294186,1.0072245025478417,-0.8526785705770765,4.361160709602492,4.343303577389036
low,causative,good_to_bad,resid_post_layer_19,20,280,5.210602680274419,5.388727687086377,1.004938449695885,-0.8526785705770765,4.357924104588372,4.343303577389036
head,inchoative,bad_to_good,resid_post_layer_16,17,320,4.1309570230543615,4.1540038995444775,1.0,1.5551757786422968,5.686132802814245,5.686132802814245
head,inchoative,bad_to_good,resid_post_layer_17,18,320,4.1309570230543615,4.1540038995444775,1.0,1.5551757786422968,5.686132802814245,5.686132802814245
head,inchoative,bad_to_good,resid_post_layer_18,19,320,4.1309570230543615,4.1540038995444775,1.0,1.5551757786422968,5.686132802814245,5.686132802814245
head,inchoative,good_to_bad,resid_post_layer_16,17,320,4.1309570230543615,4.1540038995444775,1.0,-5.686132802814245,-1.5551757786422968,-1.5551757786422968
head,inchoative,good_to_bad,resid_post_layer_17,18,320,4.1309570230543615,4.1540038995444775,1.0,-5.686132802814245,-1.5551757786422968,-1.5551757786422968
head,inchoative,good_to_bad,resid_post_layer_18,19,320,4.1309570230543615,4.1540038995444775,1.0,-5.686132802814245,-1.5551757786422968,-1.5551757786422968
low,inchoative,bad_to_good,resid_post_layer_23,24,280,3.041183023793357,3.203236598627908,1.0,1.281026788694518,4.322209806953158,4.322209806953158
low,inchoative,bad_to_good,resid_post_layer_22,23,280,3.042075893708638,3.1992187525544846,0.9939411463285215,1.281026788694518,4.323102678997176,4.322209806953158
low,inchoative,bad_to_good,resid_post_layer_21,22,280,3.0400669553450177,3.1967633941343854,0.9917997525492505,1.281026788694518,4.321093741059303,4.322209806953158
low,inchoative,good_to_bad,resid_post_layer_22,23,280,3.042522322280066,3.203236608845847,0.9948475160604652,-4.322209806953158,-1.2796874902078084,-1.281026788694518
low,inchoative,good_to_bad,resid_post_layer_23,24,280,3.041183023793357,3.203236598627908,1.0,-4.322209806953158,-1.281026788694518,-1.281026788694518
low,inchoative,good_to_bad,resid_post_layer_21,22,280,3.0414062440395355,3.203013391154153,0.9997566802996662,-4.322209806953158,-1.280803569299834,-1.281026788694518
