regime,subtask,side,source_zipf_regime,inventory_source,n,mean_expected_logodds,expected_preferred_rate,min_expected_logodds,max_expected_logodds
head,causative,bad,head,freqblimp_curated,440,0.47266512350602585,0.6636363636363637,-2.3125,3.2343759536743164
head,causative,good,head,freqblimp_curated,620,0.8318201757246448,0.7564516129032258,-3.03125,4.046875
head,inchoative,bad,head,freqblimp_curated,60,0.5885416825612386,0.7333333333333333,-0.9375,3.71875
head,inchoative,bad,head,supplemental_v2_bad_verbs,260,0.7500600979878352,0.8346153846153846,-1.40625,3.546875
head,inchoative,good,head,freqblimp_curated,620,0.7899634538158293,0.7838709677419354,-2.09375,3.90625
low,causative,bad,low_gap,supplemental_v2_bad_verbs,60,1.2661458333333333,0.9833333333333333,-0.0625,2.53125
low,causative,bad,tail,freqblimp_curated,60,0.9919270833333333,0.9,-0.84375,2.984375
low,causative,bad,tail,supplemental_v2_bad_verbs,260,0.6449143593127911,0.7461538461538462,-1.8125,2.84375
low,causative,bad,xtail,supplemental_v2_bad_verbs,80,1.1646484196186067,0.8625,-1.25,2.75
low,causative,good,low_gap,freqblimp_curated,20,1.9390625,1.0,0.8125,2.65625
low,causative,good,tail,freqblimp_curated,240,0.8942708293596904,0.8625,-1.125,3.34375
low,causative,good,xtail,freqblimp_curated,20,1.1375,1.0,0.28125,1.71875
low,inchoative,bad,low_gap,supplemental_v2_bad_verbs,40,1.052734375,0.925,-0.4375,2.265625
low,inchoative,bad,tail,supplemental_v2_bad_verbs,280,0.640834265095847,0.8,-1.4375,2.640625
low,inchoative,bad,xtail,supplemental_v2_bad_verbs,220,0.8735973033038053,0.9090909090909091,-1.6875,2.671875
low,inchoative,good,low_gap,freqblimp_curated,20,1.739062452316284,1.0,0.8125,2.5625
low,inchoative,good,tail,freqblimp_curated,240,0.5444661458333333,0.8,-1.59375,2.812500476837158
low,inchoative,good,xtail,freqblimp_curated,20,1.215625,1.0,0.15625,2.15625
