regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,causative,bad_to_good,resid_post_layer_23,24,20,5.8287109375,6.0369140625,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_20,21,20,5.290557861328125,5.762567138671875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_19,20,20,4.76328125,5.54453125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_18,19,20,5.2978515625,5.5037109375,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_16,17,20,5.3239501953125,5.4614501953125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_22,23,20,5.169140625,5.456640625,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_21,22,20,2.9845703125,5.1251953125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_17,18,20,4.373046875,4.683984375,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_15,16,20,4.34306640625,4.48564453125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_14,15,20,4.16357421875,4.40986328125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_13,14,20,3.387109375,3.526171875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_12,13,20,2.4283203125,2.7572265625,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_11,12,20,2.2140594482421876,2.2791046142578124,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_10,11,20,1.887890625,1.9068359375,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_08,9,20,1.731298828125,1.827099609375,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_09,10,20,1.694677734375,1.764501953125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_07,8,20,1.4374114990234375,1.4968658447265626,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_06,7,20,1.0487548828125,1.3959716796875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_05,6,20,0.792889404296875,1.320196533203125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_03,4,20,0.6799560546875,1.2850341796875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_02,3,20,0.52069091796875,1.22108154296875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_04,5,20,0.531494140625,1.219970703125,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_01,2,20,0.44033203125,1.02060546875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_00,1,20,0.3871826171875,0.8787841796875,-6.754687476158142,-0.9218750357627868
head,causative,bad_to_good,resid_embed,0,20,0.5437744140625,0.6942626953125,-6.754687476158142,-0.9218750357627868
head,causative,good_to_bad,resid_post_layer_21,22,20,6.7482177734375,6.8512939453125,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_22,23,20,6.275244140625,6.275244140625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_20,21,20,5.726171875,6.098046875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_19,20,20,5.822314453125,6.047216796875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_23,24,20,5.8287109375,6.0369140625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_18,19,20,5.0861083984375,5.2849853515625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_15,16,20,4.280859375,4.679296875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_16,17,20,3.95966796875,4.57529296875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_12,13,20,4.3822265625,4.3822265625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_17,18,20,3.35146484375,4.24345703125,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_13,14,20,4.0337890625,4.134375,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_14,15,20,3.90322265625,4.06650390625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_10,11,20,3.5880859375,3.6462890625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_11,12,20,3.4713623046875,3.4713623046875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_05,6,20,3.17666015625,3.19990234375,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_06,7,20,3.1515625,3.1515625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_04,5,20,2.991796875,3.132421875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_09,10,20,2.98154296875,3.00009765625,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_07,8,20,2.8458984375,2.8458984375,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_08,9,20,2.738232421875,2.738232421875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_03,4,20,2.30791015625,2.38017578125,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_02,3,20,1.511376953125,1.725341796875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_01,2,20,1.41220703125,1.65341796875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_post_layer_00,1,20,0.9563720703125,1.4705810546875,0.9218750357627868,6.754687476158142
head,causative,good_to_bad,resid_embed,0,20,0.65390625,0.946435546875,0.9218750357627868,6.754687476158142
tail,causative,bad_to_good,resid_post_layer_21,22,12,0.4939778645833333,5.427571614583333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_23,24,12,3.6131184895833335,4.300944010416667,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_22,23,12,3.4117024739583335,4.270263671875,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_19,20,12,4.0458984375,4.201497395833333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_18,19,12,3.6295572916666665,4.129557291666667,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_20,21,12,4.061614990234375,4.116953531901042,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_16,17,12,3.595703125,3.88671875,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_14,15,12,2.984619140625,3.3741048177083335,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_17,18,12,3.2320353190104165,3.37200927734375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_15,16,12,2.7701212565104165,3.1218058268229165,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_13,14,12,2.4352213541666665,2.7457682291666665,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_12,13,12,1.7122395833333333,2.3938802083333335,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_11,12,12,2.1437174479166665,2.34716796875,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_09,10,12,1.6380208333333333,1.96484375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_10,11,12,1.62298583984375,1.9529012044270833,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_07,8,12,1.080985387166341,1.9039020538330078,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_06,7,12,0.6573079427083334,1.8218587239583333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_08,9,12,1.2526041666666667,1.7727864583333333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_03,4,12,0.10835774739583333,1.7366943359375,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_05,6,12,0.13592529296875,1.6485799153645833,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_04,5,12,0.739013671875,1.5982259114583333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_01,2,12,-0.6358235677083334,1.4063313802083333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_02,3,12,0.11037190755208333,1.3818155924479167,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_post_layer_00,1,12,-0.4163411458333333,1.1888020833333333,-6.166666626930237,-2.5494791865348816
tail,causative,bad_to_good,resid_embed,0,12,-0.3546346028645833,0.7612508138020834,-6.166666626930237,-2.5494791865348816
tail,causative,good_to_bad,resid_post_layer_18,19,12,3.8942057291666665,5.1845703125,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_16,17,12,3.7268880208333335,4.713216145833333,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_15,16,12,3.9010823567708335,4.652303059895833,2.5494791865348816,6.166666626930237
tail,causative,good_to_bad,resid_post_layer_19,20,12,3.5359700520833335,4.64794921875,2.5494791865348816,6.166666626930237
