model,pair_key,regime,subtask,template_id,source_idx,direction,clean_side,corrupt_side,clean_verb,corrupt_verb,clean_target,corrupt_target,anchor_token_index,site,site_index,attribution,corrupt_metric,clean_metric
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|0,head,intransitive,inchoative_frame_tomorrow,0,bad_to_good,bad,good,carry,differ, the,.,6,resid_embed,0,1.3203125,-5.25,3.0
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|1,head,intransitive,inchoative_frame_tomorrow,1,bad_to_good,bad,good,bring,speak, the,.,6,resid_embed,0,0.67578125,-2.125,2.999999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|4,head,intransitive,inchoative_frame_tomorrow,4,bad_to_good,bad,good,consume,emerge, the,.,6,resid_embed,0,1.2421875,-3.875,3.9375
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|5,head,intransitive,inchoative_frame_tomorrow,5,bad_to_good,bad,good,shoot,complain, the,.,6,resid_embed,0,0.4140625,-3.3125,0.75
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|6,head,intransitive,inchoative_frame_tomorrow,6,bad_to_good,bad,good,promise,cooperate, the,.,6,resid_embed,0,-1.109375,-4.9375,0.8125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|9,head,intransitive,inchoative_frame_tomorrow,9,bad_to_good,bad,good,assure,compete, the,.,6,resid_embed,0,1.4609375,-1.625,2.499999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|10,head,intransitive,inchoative_frame_tomorrow,10,bad_to_good,bad,good,crowd,disagree, the,.,6,resid_embed,0,-0.365234375,-5.625,1.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|11,head,intransitive,inchoative_frame_tomorrow,11,bad_to_good,bad,good,announce,occur, the,.,6,resid_embed,0,0.51953125,-3.875,3.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|0,head,intransitive,inchoative_frame_tomorrow,0,bad_to_good,bad,good,carry,differ, the,.,6,resid_post_layer_00,1,2.515625,-5.25,3.0
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|1,head,intransitive,inchoative_frame_tomorrow,1,bad_to_good,bad,good,bring,speak, the,.,6,resid_post_layer_00,1,1.375,-2.125,2.999999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|4,head,intransitive,inchoative_frame_tomorrow,4,bad_to_good,bad,good,consume,emerge, the,.,6,resid_post_layer_00,1,1.3125,-3.875,3.9375
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|5,head,intransitive,inchoative_frame_tomorrow,5,bad_to_good,bad,good,shoot,complain, the,.,6,resid_post_layer_00,1,0.77734375,-3.3125,0.75
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|6,head,intransitive,inchoative_frame_tomorrow,6,bad_to_good,bad,good,promise,cooperate, the,.,6,resid_post_layer_00,1,-0.7890625,-4.9375,0.8125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|9,head,intransitive,inchoative_frame_tomorrow,9,bad_to_good,bad,good,assure,compete, the,.,6,resid_post_layer_00,1,2.953125,-1.625,2.499999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|10,head,intransitive,inchoative_frame_tomorrow,10,bad_to_good,bad,good,crowd,disagree, the,.,6,resid_post_layer_00,1,0.9296875,-5.625,1.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|11,head,intransitive,inchoative_frame_tomorrow,11,bad_to_good,bad,good,announce,occur, the,.,6,resid_post_layer_00,1,1.203125,-3.875,3.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|0,head,intransitive,inchoative_frame_tomorrow,0,bad_to_good,bad,good,carry,differ, the,.,6,resid_post_layer_01,2,2.9375,-5.25,3.0
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|1,head,intransitive,inchoative_frame_tomorrow,1,bad_to_good,bad,good,bring,speak, the,.,6,resid_post_layer_01,2,1.5703125,-2.125,2.999999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|4,head,intransitive,inchoative_frame_tomorrow,4,bad_to_good,bad,good,consume,emerge, the,.,6,resid_post_layer_01,2,1.0859375,-3.875,3.9375
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|5,head,intransitive,inchoative_frame_tomorrow,5,bad_to_good,bad,good,shoot,complain, the,.,6,resid_post_layer_01,2,0.482421875,-3.3125,0.75
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|6,head,intransitive,inchoative_frame_tomorrow,6,bad_to_good,bad,good,promise,cooperate, the,.,6,resid_post_layer_01,2,-0.53515625,-4.9375,0.8125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|9,head,intransitive,inchoative_frame_tomorrow,9,bad_to_good,bad,good,assure,compete, the,.,6,resid_post_layer_01,2,4.25,-1.625,2.499999761581421
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|10,head,intransitive,inchoative_frame_tomorrow,10,bad_to_good,bad,good,crowd,disagree, the,.,6,resid_post_layer_01,2,0.0947265625,-5.625,1.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|11,head,intransitive,inchoative_frame_tomorrow,11,bad_to_good,bad,good,announce,occur, the,.,6,resid_post_layer_01,2,1.46875,-3.875,3.125
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|0,head,intransitive,inchoative_frame_tomorrow,0,bad_to_good,bad,good,carry,differ, the,.,6,resid_post_layer_02,3,2.75,-5.25,3.0
EleutherAI/pythia-1.4b,head|intransitive|inchoative_frame_tomorrow|1,head,intransitive,inchoative_frame_tomorrow,1,bad_to_good,bad,good,bring,speak, the,.,6,resid_post_layer_02,3,1.8125,-2.125,2.999999761581421
