regime,subtask,direction,site,site_index,n,mean_attribution,mean_abs_attribution,mean_corrupt_metric,mean_clean_metric
head,intransitive,bad_to_good,resid_post_layer_19,20,17,5.8205422794117645,5.8205422794117645,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_21,22,17,5.194393382352941,5.312040441176471,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_23,24,17,5.2736672794117645,5.2736672794117645,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_16,17,17,5.178366268382353,5.178366268382353,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_22,23,17,5.010569852941177,5.177849264705882,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_20,21,17,5.095128676470588,5.1681985294117645,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_18,19,17,4.535673253676471,4.556698069852941,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_15,16,17,4.473230698529412,4.473230698529412,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_14,15,17,4.425321691176471,4.425321691176471,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_13,14,17,3.553768382352941,3.553768382352941,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_12,13,17,3.5004595588235294,3.5004595588235294,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_17,18,17,3.0983419979319855,3.3453620461856617,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_10,11,17,2.909237132352941,2.909237132352941,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_11,12,17,2.7404641544117645,2.7404641544117645,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_09,10,17,2.501116584329044,2.502559886259191,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_08,9,17,2.3963120404411766,2.3963120404411766,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_07,8,17,2.260555491727941,2.304012522977941,-3.231617675108068,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_06,7,17,2.2833180147058822,2.291360294117647,-3.231617675108068,2.0404411484213436
