pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,-8.59375,7.875,2.4375,16.46875,1.4929178470254958,1
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,-8.1875,4.625,-1.125,12.8125,1.8141592920353982,1
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,6.375,-4.0625,9.125,-6.9523809523809526,1
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,2.4375,-8.5,10.125,-12.461531148158647,1
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,1.7500001192092896,-1.375,8.46875,1.5847953216374269,1
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,-8.625,2.375,-1.9375,11.0,1.644859813084112,1
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,-5.1875,3.1875,-2.0,8.375,2.627450980392157,1
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,8.4375,1.1875,13.5625,2.1485148514851486,1
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,4.8125,0.4375,10.875,1.6730769230769231,1
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,5.8125,0.4375,11.9375,1.8190477512212664,1
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,6.4375,1.812500238418579,11.5,1.6727272727272726,1
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,7.8125,2.624999761581421,16.4375,1.461111111111111,1
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,-7.4375,2.125,-1.125,9.5625,1.5148514851485149,1
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,-5.8125,7.5,-0.4375,13.3125,2.4767441860465116,1
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,-2.4375,16.7265625,8.59375,19.1640625,1.7372521246458923,1
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,16.5,8.1875,15.375,2.1769911504424777,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,4.0625,13.03125,2.75,8.96875,-6.833333333333333,1
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,18.9140625,7.687499523162842,10.4140625,-12.817300170135399,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,8.65625,6.71875,7.28125,1.3625730994152048,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,1.9375,12.6875,8.625,10.75,1.6074766355140186,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,10.40625,5.1875,8.40625,2.6372549019607843,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,-1.1875,13.125,5.125,14.3125,2.267326732673267,1
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,-0.4375,12.75,6.0625,13.1875,2.0288461538461537,1
head|causative|object_frame|18,head,causative,good_to_bad,resid_post_layer_23,exhibit,respond,-0.4375,12.09375,6.124999523162842,12.53125,1.9095239482715387,1
head|causative|object_frame|19,head,causative,good_to_bad,resid_post_layer_23,settle,thrive,-1.812500238418579,9.5625,5.0625,11.375,1.6545454545454545,1
head|causative|object_frame|21,head,causative,good_to_bad,resid_post_layer_23,lace,disappear,-2.624999761581421,15.5,8.625,18.125,1.6111111111111112,1
head|causative|object_frame|25,head,causative,good_to_bad,resid_post_layer_23,incorporate,agree,1.125,12.84375,7.4375,11.71875,1.8564356435643565,1
head|causative|object_frame|26,head,causative,good_to_bad,resid_post_layer_23,assist,differ,0.4375,16.578125,5.8125,16.140625,3.002906976744186,1
head|inchoative|inchoative_frame|0,head,inchoative,bad_to_good,resid_post_layer_23,announce,flee,1.7500001192092896,13.6875,6.1875,11.9375,2.6901408450704225,1
head|inchoative|inchoative_frame|1,head,inchoative,bad_to_good,resid_post_layer_23,intend,descend,-0.1875,6.625,2.312500238418579,6.8125,2.7249997401237738,1
head|inchoative|inchoative_frame|2,head,inchoative,bad_to_good,resid_post_layer_23,complete,arrive,-0.6875,10.0,5.4375,10.6875,1.7448979591836735,1
head|inchoative|inchoative_frame|3,head,inchoative,bad_to_good,resid_post_layer_23,carry,collaborate,2.5,10.3125,6.34375,7.8125,2.032520325203252,1
head|inchoative|inchoative_frame|4,head,inchoative,bad_to_good,resid_post_layer_23,delete,appear,1.875,9.90625,3.937499761581421,8.03125,3.8939398440667174,1
head|inchoative|inchoative_frame|5,head,inchoative,bad_to_good,resid_post_layer_23,send,zoom,-0.3125,13.1875,7.40625,13.5,1.7489878542510122,1
head|inchoative|inchoative_frame|9,head,inchoative,bad_to_good,resid_post_layer_23,eliminate,react,0.6875,16.4375,6.84375,15.75,2.5583756345177666,1
head|inchoative|inchoative_frame|10,head,inchoative,bad_to_good,resid_post_layer_23,interview,emerge,-0.125,13.84375,4.0625,13.96875,3.3358208955223883,1
head|inchoative|inchoative_frame|20,head,inchoative,bad_to_good,resid_post_layer_23,forbid,arise,-1.5,15.234375,5.59375,16.734375,2.359030837004405,1
head|inchoative|inchoative_frame|25,head,inchoative,bad_to_good,resid_post_layer_23,launch,pray,-0.1875,5.5,3.375,5.6875,1.5964912280701755,1
head|inchoative|inchoative_frame|33,head,inchoative,bad_to_good,resid_post_layer_23,assign,proceed,2.1875,12.71875,6.28125,10.53125,2.572519083969466,1
head|inchoative|inchoative_frame|37,head,inchoative,bad_to_good,resid_post_layer_23,motivate,differ,-2.000000238418579,17.875,5.125,19.875,2.789473684210526,1
head|inchoative|inchoative_frame|40,head,inchoative,bad_to_good,resid_post_layer_23,tend,complain,-1.874999761581421,3.875,3.1875,5.75,1.1358024691358024,1
head|inchoative|inchoative_frame|49,head,inchoative,bad_to_good,resid_post_layer_23,assure,disagree,-3.000000238418579,14.6875,5.625,17.6875,2.050724637681159,1
head|inchoative|inchoative_frame|0,head,inchoative,good_to_bad,resid_post_layer_23,flee,announce,-6.1875,3.5625,-1.7500001192092896,9.75,2.1971830985915495,1
head|inchoative|inchoative_frame|1,head,inchoative,good_to_bad,resid_post_layer_23,descend,intend,-2.312500238418579,4.6875,0.1875,7.0,2.7999997329712167,1
head|inchoative|inchoative_frame|2,head,inchoative,good_to_bad,resid_post_layer_23,arrive,complete,-5.4375,5.5,0.6875,10.9375,1.7857142857142858,1
head|inchoative|inchoative_frame|3,head,inchoative,good_to_bad,resid_post_layer_23,collaborate,carry,-6.34375,2.1875,-2.5,8.53125,2.2195121951219514,1
head|inchoative|inchoative_frame|4,head,inchoative,good_to_bad,resid_post_layer_23,appear,delete,-3.937499761581421,4.6875,-1.875,8.625,4.181818665223401,1
head|inchoative|inchoative_frame|5,head,inchoative,good_to_bad,resid_post_layer_23,zoom,send,-7.40625,5.3125,0.3125,12.71875,1.6477732793522266,1
head|inchoative|inchoative_frame|9,head,inchoative,good_to_bad,resid_post_layer_23,react,eliminate,-6.84375,6.0625,-0.6875,12.90625,2.0964467005076144,1
head|inchoative|inchoative_frame|10,head,inchoative,good_to_bad,resid_post_layer_23,emerge,interview,-4.0625,7.25,0.125,11.3125,2.701492537313433,1
head|inchoative|inchoative_frame|20,head,inchoative,good_to_bad,resid_post_layer_23,arise,forbid,-5.59375,10.0,1.5,15.59375,2.198237885462555,1
head|inchoative|inchoative_frame|25,head,inchoative,good_to_bad,resid_post_layer_23,pray,launch,-3.375,2.1875,0.1875,5.5625,1.5614035087719298,1
head|inchoative|inchoative_frame|33,head,inchoative,good_to_bad,resid_post_layer_23,proceed,assign,-6.28125,3.4375,-2.1875,9.71875,2.3740458015267176,1
head|inchoative|inchoative_frame|37,head,inchoative,good_to_bad,resid_post_layer_23,differ,motivate,-5.125,10.4375,2.000000238418579,15.5625,2.1842105263157894,1
head|inchoative|inchoative_frame|40,head,inchoative,good_to_bad,resid_post_layer_23,complain,tend,-3.1875,2.875,1.874999761581421,6.0625,1.1975308641975309,1
head|inchoative|inchoative_frame|49,head,inchoative,good_to_bad,resid_post_layer_23,disagree,assure,-5.625,8.125,3.000000238418579,13.75,1.5942028985507246,1
tail|causative|object_frame|0,tail,causative,bad_to_good,resid_post_layer_23,decompose,metabolize,-6.40625,1.4375,-5.9375,7.84375,16.733333333333334,1
tail|causative|object_frame|6,tail,causative,bad_to_good,resid_post_layer_23,cower,disinfect,-7.125,3.8125,0.8125,10.9375,1.3779527559055118,1
tail|causative|object_frame|9,tail,causative,bad_to_good,resid_post_layer_23,incubate,unwind,-6.875,3.0625,-9.125,9.9375,-4.416666666666667,1
tail|causative|object_frame|11,tail,causative,bad_to_good,resid_post_layer_23,recoil,engender,-5.125,3.5625,-1.312500238418579,8.6875,2.2786886670902855,1
tail|causative|object_frame|14,tail,causative,bad_to_good,resid_post_layer_23,doze,outdo,-7.687499523162842,13.21875,2.1875,20.90625,2.117088607594937,1
tail|causative|object_frame|18,tail,causative,bad_to_good,resid_post_layer_23,stagnate,dispel,-7.375,3.375,-0.875,10.75,1.6538461538461537,1
tail|causative|object_frame|26,tail,causative,bad_to_good,resid_post_layer_23,gush,demean,-5.4375,8.4375,-0.6875,13.875,2.9210526315789473,1
tail|causative|object_frame|27,tail,causative,bad_to_good,resid_post_layer_23,snipe,dissipate,-4.9375,1.25,-4.1875,6.1875,8.25,1
tail|causative|object_frame|28,tail,causative,bad_to_good,resid_post_layer_23,wallow,knead,-9.15625,3.624999761581421,0.875,12.78125,1.2741433021806854,1
tail|causative|object_frame|29,tail,causative,bad_to_good,resid_post_layer_23,erode,modernize,-6.78125,1.9999998807907104,-7.3125,8.78125,-16.529411764705884,1
tail|causative|object_frame|33,tail,causative,bad_to_good,resid_post_layer_23,seep,devolve,-2.5625,2.249999761581421,-4.1875,4.8125,-2.9615384615384617,1
tail|causative|object_frame|0,tail,causative,good_to_bad,resid_post_layer_23,metabolize,decompose,5.9375,13.109375,6.40625,7.171875,15.3,1
tail|causative|object_frame|6,tail,causative,good_to_bad,resid_post_layer_23,disinfect,cower,-0.8125,10.15625,7.125,10.96875,1.3818897637795275,1
tail|causative|object_frame|9,tail,causative,good_to_bad,resid_post_layer_23,unwind,incubate,9.125,19.55078125,6.875,10.42578125,-4.633680555555555,1
tail|causative|object_frame|11,tail,causative,good_to_bad,resid_post_layer_23,engender,recoil,1.312500238418579,10.8125,5.125,9.5,2.491803434515996,1
tail|causative|object_frame|14,tail,causative,good_to_bad,resid_post_layer_23,outdo,doze,-2.1875,21.84765625,7.687499523162842,24.03515625,2.4339398734177213,1
tail|causative|object_frame|18,tail,causative,good_to_bad,resid_post_layer_23,dispel,stagnate,0.875,11.625,7.375,10.75,1.6538461538461537,1
tail|causative|object_frame|26,tail,causative,good_to_bad,resid_post_layer_23,demean,gush,0.6875,14.265625,5.4375,13.578125,2.8585526315789473,1
tail|causative|object_frame|27,tail,causative,good_to_bad,resid_post_layer_23,dissipate,snipe,4.1875,10.8125,4.9375,6.625,8.833333333333334,1
tail|causative|object_frame|28,tail,causative,good_to_bad,resid_post_layer_23,knead,wallow,-0.875,11.6875,9.15625,12.5625,1.2523364485981308,1
tail|causative|object_frame|29,tail,causative,good_to_bad,resid_post_layer_23,modernize,erode,7.3125,15.6875,6.78125,8.375,-15.764705882352942,1
tail|causative|object_frame|33,tail,causative,good_to_bad,resid_post_layer_23,devolve,seep,4.1875,8.6875,2.5625,4.5,-2.769230769230769,1
tail|inchoative|inchoative_frame|1,tail,inchoative,bad_to_good,resid_post_layer_23,allot,wallow,-2.25,7.15625,3.9375,9.40625,1.52020202020202,1
tail|inchoative|inchoative_frame|4,tail,inchoative,bad_to_good,resid_post_layer_23,obligate,croak,-2.4375,14.75,4.0625,17.1875,2.644230769230769,1
tail|inchoative|inchoative_frame|6,tail,inchoative,bad_to_good,resid_post_layer_23,extort,persevere,0.1875,7.1875,2.8125,7.0,2.6666666666666665,1
tail|inchoative|inchoative_frame|14,tail,inchoative,bad_to_good,resid_post_layer_23,raze,germinate,0.125,9.84375,4.0625,9.71875,2.4682539682539684,1
tail|inchoative|inchoative_frame|22,tail,inchoative,bad_to_good,resid_post_layer_23,deplete,snipe,2.375,8.0,1.5,5.625,-6.428571428571429,1
tail|inchoative|inchoative_frame|25,tail,inchoative,bad_to_good,resid_post_layer_23,recast,fawn,0.0625,6.812499523162842,1.8125,6.749999523162842,3.857142584664481,1
tail|inchoative|inchoative_frame|36,tail,inchoative,bad_to_good,resid_post_layer_23,douse,seep,-0.75,11.3125,3.875,12.0625,2.608108108108108,1
tail|inchoative|inchoative_frame|44,tail,inchoative,bad_to_good,resid_post_layer_23,yearn,erode,-0.375,3.875,-1.25,4.25,-4.857142857142857,1
tail|inchoative|inchoative_frame|47,tail,inchoative,bad_to_good,resid_post_layer_23,repaint,reappear,-1.4375,4.5,1.1875,5.9375,2.261904761904762,1
tail|inchoative|inchoative_frame|48,tail,inchoative,bad_to_good,resid_post_layer_23,nag,conspire,-0.8125,5.375,2.75,6.1875,1.736842105263158,1
tail|inchoative|inchoative_frame|1,tail,inchoative,good_to_bad,resid_post_layer_23,wallow,allot,-3.9375,7.5625,2.25,11.5,1.8585858585858586,1
tail|inchoative|inchoative_frame|4,tail,inchoative,good_to_bad,resid_post_layer_23,croak,obligate,-4.0625,7.375,2.4375,11.4375,1.7596153846153846,1
tail|inchoative|inchoative_frame|6,tail,inchoative,good_to_bad,resid_post_layer_23,persevere,extort,-2.8125,4.5,-0.1875,7.3125,2.7857142857142856,1
