pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,-8.59375,-8.5625,2.4375,0.03125,0.0028328611898017,0
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,-8.1875,-8.09375,-1.125,0.09375,0.01327433628318584,0
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,-2.812499761581421,-4.0625,-0.0624997615814209,0.047618865966796875,0
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,-7.75,-8.5,-0.0625004768371582,0.07692361865491505,0
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,-6.71875,-1.375,0.0,0.0,0
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,-8.625,-8.5625,-1.9375,0.0625,0.009345794392523364,0
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,-5.1875,-5.0625,-2.0,0.125,0.0392156862745098,0
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,-5.125,1.1875,0.0,0.0,0
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,-6.0625,0.4375,0.0,0.0,0
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,-6.125,0.4375,-4.76837158203125e-07,-7.266090557722587e-08,0
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,-5.0,1.812500238418579,0.0625,0.00909090909090909,0
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,-8.5625,2.624999761581421,0.0625,0.005555555555555556,0
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,-7.4375,-7.406249523162842,-1.125,0.0312504768371582,0.004950570588064666,0
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,-5.8125,-5.8125,-0.4375,0.0,0.0,0
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,-2.4375,-2.3125,8.59375,0.125,0.0113314447592068,0
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,1.1875,8.1875,0.0625,0.008849557522123894,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,4.0625,4.0,2.75,-0.0625,0.047619047619047616,1
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,8.46875,7.687499523162842,-0.03125,0.03846151588937854,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,1.4375,6.71875,0.0625,0.011695906432748537,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,1.9375,2.0,8.625,0.0625,0.009345794392523364,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,2.0625,5.1875,0.0625,0.0196078431372549,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,-1.1875,-1.125,5.125,0.0625,0.009900990099009901,0
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,-0.4375,-0.4375,6.0625,0.0,0.0,0
head|causative|object_frame|18,head,causative,good_to_bad,resid_post_layer_23,exhibit,respond,-0.4375,-0.4375,6.124999523162842,0.0,0.0,0
head|causative|object_frame|19,head,causative,good_to_bad,resid_post_layer_23,settle,thrive,-1.812500238418579,-1.75,5.0625,0.0625002384185791,0.009090943769975142,0
head|causative|object_frame|21,head,causative,good_to_bad,resid_post_layer_23,lace,disappear,-2.624999761581421,-2.5,8.625,0.1249997615814209,0.011111089918348525,0
head|causative|object_frame|25,head,causative,good_to_bad,resid_post_layer_23,incorporate,agree,1.125,1.25,7.4375,0.125,0.019801980198019802,1
head|causative|object_frame|26,head,causative,good_to_bad,resid_post_layer_23,assist,differ,0.4375,0.5,5.8125,0.0625,0.011627906976744186,1
head|inchoative|inchoative_frame|0,head,inchoative,bad_to_good,resid_post_layer_23,announce,flee,1.7500001192092896,1.8125001192092896,6.1875,0.0625,0.014084507042253521,1
head|inchoative|inchoative_frame|1,head,inchoative,bad_to_good,resid_post_layer_23,intend,descend,-0.1875,-0.1875,2.312500238418579,0.0,0.0,0
head|inchoative|inchoative_frame|2,head,inchoative,bad_to_good,resid_post_layer_23,complete,arrive,-0.6875,-0.625,5.4375,0.0625,0.01020408163265306,0
head|inchoative|inchoative_frame|3,head,inchoative,bad_to_good,resid_post_layer_23,carry,collaborate,2.5,2.5625,6.34375,0.0625,0.016260162601626018,1
head|inchoative|inchoative_frame|4,head,inchoative,bad_to_good,resid_post_layer_23,delete,appear,1.875,1.9375,3.937499761581421,0.0625,0.030303033805966672,1
head|inchoative|inchoative_frame|5,head,inchoative,bad_to_good,resid_post_layer_23,send,zoom,-0.3125,-0.3125,7.40625,0.0,0.0,0
head|inchoative|inchoative_frame|9,head,inchoative,bad_to_good,resid_post_layer_23,eliminate,react,0.6875,0.75,6.84375,0.0625,0.01015228426395939,1
head|inchoative|inchoative_frame|10,head,inchoative,bad_to_good,resid_post_layer_23,interview,emerge,-0.125,-0.125,4.0625,0.0,0.0,0
head|inchoative|inchoative_frame|20,head,inchoative,bad_to_good,resid_post_layer_23,forbid,arise,-1.5,-1.4375,5.59375,0.0625,0.00881057268722467,0
head|inchoative|inchoative_frame|25,head,inchoative,bad_to_good,resid_post_layer_23,launch,pray,-0.1875,-0.1875,3.375,0.0,0.0,0
head|inchoative|inchoative_frame|33,head,inchoative,bad_to_good,resid_post_layer_23,assign,proceed,2.1875,2.3125,6.28125,0.125,0.030534351145038167,1
head|inchoative|inchoative_frame|37,head,inchoative,bad_to_good,resid_post_layer_23,motivate,differ,-2.000000238418579,-2.0625,5.125,-0.0624997615814209,-0.008771896362304688,0
head|inchoative|inchoative_frame|40,head,inchoative,bad_to_good,resid_post_layer_23,tend,complain,-1.874999761581421,-1.8125,3.1875,0.0624997615814209,0.012345631917317709,0
head|inchoative|inchoative_frame|49,head,inchoative,bad_to_good,resid_post_layer_23,assure,disagree,-3.000000238418579,-2.937500238418579,5.625,0.0625,0.007246376811594203,0
head|inchoative|inchoative_frame|0,head,inchoative,good_to_bad,resid_post_layer_23,flee,announce,-6.1875,-6.125,-1.7500001192092896,0.0625,0.014084507042253521,0
head|inchoative|inchoative_frame|1,head,inchoative,good_to_bad,resid_post_layer_23,descend,intend,-2.312500238418579,-2.3125,0.1875,2.384185791015625e-07,9.536742254567885e-08,0
head|inchoative|inchoative_frame|2,head,inchoative,good_to_bad,resid_post_layer_23,arrive,complete,-5.4375,-5.375,0.6875,0.0625,0.01020408163265306,0
head|inchoative|inchoative_frame|3,head,inchoative,good_to_bad,resid_post_layer_23,collaborate,carry,-6.34375,-6.25,-2.5,0.09375,0.024390243902439025,0
head|inchoative|inchoative_frame|4,head,inchoative,good_to_bad,resid_post_layer_23,appear,delete,-3.937499761581421,-3.875,-1.875,0.0624997615814209,0.030302918209066474,0
head|inchoative|inchoative_frame|5,head,inchoative,good_to_bad,resid_post_layer_23,zoom,send,-7.40625,-7.40625,0.3125,0.0,0.0,0
head|inchoative|inchoative_frame|9,head,inchoative,good_to_bad,resid_post_layer_23,react,eliminate,-6.84375,-6.84375,-0.6875,0.0,0.0,0
head|inchoative|inchoative_frame|10,head,inchoative,good_to_bad,resid_post_layer_23,emerge,interview,-4.0625,-4.0625,0.125,0.0,0.0,0
head|inchoative|inchoative_frame|20,head,inchoative,good_to_bad,resid_post_layer_23,arise,forbid,-5.59375,-5.59375,1.5,0.0,0.0,0
head|inchoative|inchoative_frame|25,head,inchoative,good_to_bad,resid_post_layer_23,pray,launch,-3.375,-3.375,0.1875,0.0,0.0,0
head|inchoative|inchoative_frame|33,head,inchoative,good_to_bad,resid_post_layer_23,proceed,assign,-6.28125,-6.1875,-2.1875,0.09375,0.022900763358778626,0
head|inchoative|inchoative_frame|37,head,inchoative,good_to_bad,resid_post_layer_23,differ,motivate,-5.125,-5.125,2.000000238418579,0.0,0.0,0
head|inchoative|inchoative_frame|40,head,inchoative,good_to_bad,resid_post_layer_23,complain,tend,-3.1875,-3.125,1.874999761581421,0.0625,0.012345679012345678,0
head|inchoative|inchoative_frame|49,head,inchoative,good_to_bad,resid_post_layer_23,disagree,assure,-5.625,-5.625,3.000000238418579,0.0,0.0,0
