pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,8.59375,8.75,-2.4375,0.15625,-0.014164305949008499,1
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,8.1875,6.3125,1.125,-1.875,0.26548672566371684,1
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,-3.1875,-4.0625,-0.4375,0.3333333333333333,0
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,1.6875,-8.5,9.375,-11.538454766813562,1
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,0.4375,-1.375,7.15625,1.3391812865497077,1
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,8.625,10.6875,1.9375,2.0625,-0.308411214953271,1
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,5.1875,5.4375,2.0,0.25,-0.0784313725490196,1
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,-3.562500238418579,1.1875,1.562499761581421,0.24752471470596768,0
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,-4.5,0.4375,1.5625,0.2403846153846154,0
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,-3.874999761581421,0.4375,2.249999761581421,0.34285713143900054,0
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,-2.5,1.812500238418579,2.5625,0.37272727272727274,0
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,-6.0625,2.624999761581421,2.5625,0.22777777777777777,0
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,7.4375,6.4375,1.125,-1.0,0.15841584158415842,1
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,5.8125,2.749999761581421,0.4375,-3.062500238418579,0.56976748621741,1
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,2.4375,2.5625,-8.59375,0.125,-0.0113314447592068,1
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,3.375,8.1875,2.25,0.3185840707964602,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,-4.0625,-3.6875,-2.75,0.375,0.2857142857142857,0
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,18.41015625,7.687499523162842,9.91015625,-12.19710822641917,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,7.593750476837158,6.71875,6.218750476837158,1.163742779291164,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,-1.9375,0.0625002384185791,-8.625,2.000000238418579,-0.299065456212124,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,1.6875,5.1875,-0.3125,-0.09803921568627451,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,1.1875,-0.5,-5.125,-1.6875,0.26732673267326734,0
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,0.4375,-1.4375,-6.0625,-1.875,0.28846153846153844,0
head|causative|object_frame|18,head,causative,good_to_bad,resid_post_layer_23,exhibit,respond,0.4375,-1.8125,-6.124999523162842,-2.25,0.34285716776945335,0
head|causative|object_frame|19,head,causative,good_to_bad,resid_post_layer_23,settle,thrive,1.812500238418579,-0.6875,-5.0625,-2.500000238418579,0.3636363983154297,0
head|causative|object_frame|21,head,causative,good_to_bad,resid_post_layer_23,lace,disappear,2.624999761581421,-0.3125,-8.625,-2.937499761581421,0.2611110899183485,0
head|causative|object_frame|25,head,causative,good_to_bad,resid_post_layer_23,incorporate,agree,1.125,2.375,7.4375,1.25,0.19801980198019803,1
head|causative|object_frame|26,head,causative,good_to_bad,resid_post_layer_23,assist,differ,0.4375,4.1875,5.8125,3.75,0.6976744186046512,1
head|inchoative|inchoative_frame|0,head,inchoative,bad_to_good,resid_post_layer_23,announce,flee,1.7500001192092896,3.249999761581421,6.1875,1.4999996423721313,0.33802808842188875,1
head|inchoative|inchoative_frame|1,head,inchoative,bad_to_good,resid_post_layer_23,intend,descend,-0.1875,1.3125,2.312500238418579,1.5,0.5999999427795465,1
head|inchoative|inchoative_frame|2,head,inchoative,bad_to_good,resid_post_layer_23,complete,arrive,0.6875,1.75,-5.4375,1.0625,-0.17346938775510204,1
head|inchoative|inchoative_frame|3,head,inchoative,bad_to_good,resid_post_layer_23,carry,collaborate,-2.5,0.6875,-6.34375,3.1875,-0.8292682926829268,1
head|inchoative|inchoative_frame|4,head,inchoative,bad_to_good,resid_post_layer_23,delete,appear,1.875,5.96875,3.937499761581421,4.09375,1.984848714290817,1
head|inchoative|inchoative_frame|5,head,inchoative,bad_to_good,resid_post_layer_23,send,zoom,0.3125,1.4375,-7.40625,1.125,-0.145748987854251,1
head|inchoative|inchoative_frame|9,head,inchoative,bad_to_good,resid_post_layer_23,eliminate,react,-0.6875,3.0,-6.84375,3.6875,-0.5989847715736041,1
head|inchoative|inchoative_frame|10,head,inchoative,bad_to_good,resid_post_layer_23,interview,emerge,0.125,-2.375,-4.0625,-2.5,0.5970149253731343,0
head|inchoative|inchoative_frame|20,head,inchoative,bad_to_good,resid_post_layer_23,forbid,arise,-1.5,4.625,5.59375,6.125,0.8634361233480177,1
head|inchoative|inchoative_frame|25,head,inchoative,bad_to_good,resid_post_layer_23,launch,pray,-0.1875,3.25,3.375,3.4375,0.9649122807017544,1
head|inchoative|inchoative_frame|33,head,inchoative,bad_to_good,resid_post_layer_23,assign,proceed,2.1875,3.6875,6.28125,1.5,0.366412213740458,1
head|inchoative|inchoative_frame|37,head,inchoative,bad_to_good,resid_post_layer_23,motivate,differ,-2.000000238418579,2.625,5.125,4.625,0.6491228070175439,1
head|inchoative|inchoative_frame|40,head,inchoative,bad_to_good,resid_post_layer_23,tend,complain,-1.874999761581421,3.6875,3.1875,5.5625,1.0987654320987654,1
head|inchoative|inchoative_frame|49,head,inchoative,bad_to_good,resid_post_layer_23,assure,disagree,-3.000000238418579,3.749999761581421,5.625,6.75,0.782608695652174,1
head|inchoative|inchoative_frame|0,head,inchoative,good_to_bad,resid_post_layer_23,flee,announce,6.1875,5.0,1.7500001192092896,-1.1875,0.2676056338028169,1
head|inchoative|inchoative_frame|1,head,inchoative,good_to_bad,resid_post_layer_23,descend,intend,2.312500238418579,0.75,-0.1875,-1.562500238418579,0.6250000357627834,1
head|inchoative|inchoative_frame|2,head,inchoative,good_to_bad,resid_post_layer_23,arrive,complete,5.4375,6.5625,-0.6875,1.125,-0.1836734693877551,1
head|inchoative|inchoative_frame|3,head,inchoative,good_to_bad,resid_post_layer_23,collaborate,carry,6.34375,9.84375,2.5,3.5,-0.9105691056910569,1
head|inchoative|inchoative_frame|4,head,inchoative,good_to_bad,resid_post_layer_23,appear,delete,-3.937499761581421,0.5625,-1.875,4.5,2.1818184340296005,1
head|inchoative|inchoative_frame|5,head,inchoative,good_to_bad,resid_post_layer_23,zoom,send,7.40625,8.4375,-0.3125,1.03125,-0.13360323886639677,1
head|inchoative|inchoative_frame|9,head,inchoative,good_to_bad,resid_post_layer_23,react,eliminate,6.84375,9.875,0.6875,3.03125,-0.49238578680203043,1
head|inchoative|inchoative_frame|10,head,inchoative,good_to_bad,resid_post_layer_23,emerge,interview,-4.0625,-2.0,0.125,2.0625,0.4925373134328358,0
head|inchoative|inchoative_frame|20,head,inchoative,good_to_bad,resid_post_layer_23,arise,forbid,-5.59375,0.1875,1.5,5.78125,0.8149779735682819,1
head|inchoative|inchoative_frame|25,head,inchoative,good_to_bad,resid_post_layer_23,pray,launch,-3.375,0.0,0.1875,3.375,0.9473684210526315,0
head|inchoative|inchoative_frame|33,head,inchoative,good_to_bad,resid_post_layer_23,proceed,assign,6.28125,4.9375,2.1875,-1.34375,0.3282442748091603,1
head|inchoative|inchoative_frame|37,head,inchoative,good_to_bad,resid_post_layer_23,differ,motivate,5.125,1.5625,-2.000000238418579,-3.5625,0.5,1
