pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|1,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|5,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|6,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|8,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.34375,-7.34375,-7.34375,0.0,,0
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.218749523162842,-7.218749523162842,-7.218749523162842,0.0,,0
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.218749523162842,-7.218749523162842,-7.218749523162842,0.0,,0
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.218749523162842,-7.218749523162842,-7.218749523162842,0.0,,0
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.218749523162842,-7.218749523162842,-7.218749523162842,0.0,,0
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,do,do,-7.218749523162842,-7.218749523162842,-7.218749523162842,0.0,,0
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,do,do,7.34375,7.34375,7.34375,0.0,,1
head|causative|object_frame|1,head,causative,good_to_bad,resid_post_layer_23,do,do,7.34375,7.34375,7.34375,0.0,,1
head|causative|object_frame|5,head,causative,good_to_bad,resid_post_layer_23,do,do,7.34375,7.34375,7.34375,0.0,,1
