pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,-8.59375,-8.75,2.4375,-0.15625,-0.014164305949008499,0
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,-8.1875,-8.28125,-1.125,-0.09375,-0.01327433628318584,0
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,-2.75,-4.0625,0.0,-0.0,0
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,-7.65625,-8.5,0.031249523162841797,-0.03846092901322056,0
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,-6.65625,-1.375,0.0625,0.011695906432748537,0
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,-8.625,-8.71875,-1.9375,-0.09375,-0.014018691588785047,0
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,-5.1875,-5.0625,-2.0,0.125,0.0392156862745098,0
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,-5.125,1.1875,0.0,0.0,0
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,-6.1875,0.4375,-0.125,-0.019230769230769232,0
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,-6.218749523162842,0.4375,-0.09375,-0.014285715323727223,0
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,-5.0,1.812500238418579,0.0625,0.00909090909090909,0
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,-8.71875,2.624999761581421,-0.09375,-0.008333333333333333,0
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,-7.4375,-7.656250476837158,-1.125,-0.2187504768371582,-0.03465354088509437,0
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,-5.8125,-5.8125,-0.4375,0.0,0.0,0
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,-2.4375,-2.5,8.59375,-0.0625,-0.0056657223796034,0
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,0.9375,8.1875,-0.1875,-0.02654867256637168,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,4.0625,4.0625,2.75,0.0,-0.0,1
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,8.5625,7.687499523162842,0.0625,-0.07692303177875708,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,1.437500238418579,6.71875,0.0625002384185791,0.011695951049090826,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,1.9375,1.875000238418579,8.625,-0.0624997615814209,-0.00934575874114705,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,2.0625,5.1875,0.0625,0.0196078431372549,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,-1.1875,-1.1875,5.125,0.0,0.0,0
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,-0.4375,-0.5625002384185791,6.0625,-0.1250002384185791,-0.01923080591055063,0
