pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,8.59375,8.625,-2.4375,0.03125,-0.0028328611898017,1
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,8.1875,5.9375,1.125,-2.25,0.3185840707964602,1
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,-2.625,-4.0625,0.125,-0.09523809523809523,0
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,2.937500238418579,-8.5,10.625,-13.076915402388703,1
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,3.25,-1.375,9.96875,1.8654970760233918,1
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,8.625,12.21875,1.9375,3.59375,-0.5373831775700935,1
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,5.1875,3.687499761581421,2.0,-1.500000238418579,0.4705883100921032,1
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,-1.4375,1.1875,3.6875,0.5841584158415841,0
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,-4.1875,0.4375,1.875,0.28846153846153844,0
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,-3.312500238418579,0.4375,2.8124992847442627,0.4285713507204583,0
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,-1.0,1.812500238418579,4.0625,0.5909090909090909,0
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,-3.5625,2.624999761581421,5.0625,0.45,0
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,7.4375,5.96875,1.125,-1.46875,0.23267326732673269,1
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,5.8125,2.0,0.4375,-3.8125,0.7093023255813954,1
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,2.4375,2.4375,-8.59375,0.0,-0.0,1
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,3.812499761581421,8.1875,2.687499761581421,0.38053093969294455,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,-4.0625,-4.25,-2.75,-0.1875,-0.14285714285714285,0
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,19.703125,7.687499523162842,11.203125,-13.788453446342206,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,9.90625,6.71875,8.53125,1.5964912280701755,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,-1.9375,1.5625,-8.625,3.5,-0.5233644859813084,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,3.500000238418579,5.1875,1.500000238418579,0.4705883100921032,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,1.1875,-2.6875,-5.125,-3.875,0.6138613861386139,0
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,0.4375,-1.8125,-6.0625,-2.25,0.34615384615384615,0
head|causative|object_frame|18,head,causative,good_to_bad,resid_post_layer_23,exhibit,respond,0.4375,-2.5,-6.124999523162842,-2.9375,0.447619080143453,0
head|causative|object_frame|19,head,causative,good_to_bad,resid_post_layer_23,settle,thrive,1.812500238418579,-2.125,-5.0625,-3.937500238418579,0.5727273074063388,0
head|causative|object_frame|21,head,causative,good_to_bad,resid_post_layer_23,lace,disappear,2.624999761581421,-3.0,-8.625,-5.625,0.5,0
head|causative|object_frame|25,head,causative,good_to_bad,resid_post_layer_23,incorporate,agree,1.125,3.0,7.4375,1.875,0.297029702970297,1
head|causative|object_frame|26,head,causative,good_to_bad,resid_post_layer_23,assist,differ,0.4375,5.1875,5.8125,4.75,0.8837209302325582,1
head|inchoative|inchoative_frame|0,head,inchoative,bad_to_good,resid_post_layer_23,announce,flee,1.7500001192092896,4.75,6.1875,3.0,0.676056338028169,1
head|inchoative|inchoative_frame|1,head,inchoative,bad_to_good,resid_post_layer_23,intend,descend,-0.1875,1.5,2.312500238418579,1.6875,0.6749999356269898,1
head|inchoative|inchoative_frame|2,head,inchoative,bad_to_good,resid_post_layer_23,complete,arrive,0.6875,2.4375,-5.4375,1.75,-0.2857142857142857,1
head|inchoative|inchoative_frame|3,head,inchoative,bad_to_good,resid_post_layer_23,carry,collaborate,-2.5,1.8125,-6.34375,4.3125,-1.1219512195121952,1
head|inchoative|inchoative_frame|4,head,inchoative,bad_to_good,resid_post_layer_23,delete,appear,1.875,8.28125,3.937499761581421,6.40625,3.106060965111584,1
head|inchoative|inchoative_frame|5,head,inchoative,bad_to_good,resid_post_layer_23,send,zoom,0.3125,2.0625,-7.40625,1.75,-0.22672064777327935,1
head|inchoative|inchoative_frame|9,head,inchoative,bad_to_good,resid_post_layer_23,eliminate,react,-0.6875,2.9375,-6.84375,3.625,-0.5888324873096447,1
head|inchoative|inchoative_frame|10,head,inchoative,bad_to_good,resid_post_layer_23,interview,emerge,0.125,-2.125,-4.0625,-2.25,0.5373134328358209,0
head|inchoative|inchoative_frame|20,head,inchoative,bad_to_good,resid_post_layer_23,forbid,arise,-1.5,7.968749523162842,5.59375,9.46875,1.3348017621145374,1
head|inchoative|inchoative_frame|25,head,inchoative,bad_to_good,resid_post_layer_23,launch,pray,-0.1875,5.875,3.375,6.0625,1.7017543859649122,1
head|inchoative|inchoative_frame|33,head,inchoative,bad_to_good,resid_post_layer_23,assign,proceed,2.1875,4.0625,6.28125,1.875,0.4580152671755725,1
head|inchoative|inchoative_frame|37,head,inchoative,bad_to_good,resid_post_layer_23,motivate,differ,-2.000000238418579,3.624999761581421,5.125,5.625,0.7894736842105263,1
head|inchoative|inchoative_frame|40,head,inchoative,bad_to_good,resid_post_layer_23,tend,complain,-1.874999761581421,4.6875,3.1875,6.5625,1.2962962962962963,1
head|inchoative|inchoative_frame|49,head,inchoative,bad_to_good,resid_post_layer_23,assure,disagree,-3.000000238418579,7.625,5.625,10.625,1.2318840579710144,1
head|inchoative|inchoative_frame|0,head,inchoative,good_to_bad,resid_post_layer_23,flee,announce,6.1875,3.75,1.7500001192092896,-2.4375,0.5492957746478874,1
head|inchoative|inchoative_frame|1,head,inchoative,good_to_bad,resid_post_layer_23,descend,intend,2.312500238418579,0.5625,-0.1875,-1.750000238418579,0.7000000286102268,1
head|inchoative|inchoative_frame|2,head,inchoative,good_to_bad,resid_post_layer_23,arrive,complete,5.4375,7.25,-0.6875,1.8125,-0.29591836734693877,1
head|inchoative|inchoative_frame|3,head,inchoative,good_to_bad,resid_post_layer_23,collaborate,carry,6.34375,11.0625,2.5,4.71875,-1.2276422764227641,1
head|inchoative|inchoative_frame|4,head,inchoative,good_to_bad,resid_post_layer_23,appear,delete,-3.937499761581421,2.875,-1.875,6.8125,3.303030684850367,1
head|inchoative|inchoative_frame|5,head,inchoative,good_to_bad,resid_post_layer_23,zoom,send,7.40625,9.0,-0.3125,1.59375,-0.20647773279352227,1
head|inchoative|inchoative_frame|9,head,inchoative,good_to_bad,resid_post_layer_23,react,eliminate,6.84375,9.90625,0.6875,3.0625,-0.49746192893401014,1
head|inchoative|inchoative_frame|10,head,inchoative,good_to_bad,resid_post_layer_23,emerge,interview,-4.0625,-2.25,0.125,1.8125,0.43283582089552236,0
head|inchoative|inchoative_frame|20,head,inchoative,good_to_bad,resid_post_layer_23,arise,forbid,-5.59375,3.125,1.5,8.71875,1.2290748898678414,1
head|inchoative|inchoative_frame|25,head,inchoative,good_to_bad,resid_post_layer_23,pray,launch,-3.375,2.5625,0.1875,5.9375,1.6666666666666667,1
head|inchoative|inchoative_frame|33,head,inchoative,good_to_bad,resid_post_layer_23,proceed,assign,6.28125,4.5625,2.1875,-1.71875,0.4198473282442748,1
head|inchoative|inchoative_frame|37,head,inchoative,good_to_bad,resid_post_layer_23,differ,motivate,5.125,0.75,-2.000000238418579,-4.375,0.6140350877192983,1
head|inchoative|inchoative_frame|40,head,inchoative,good_to_bad,resid_post_layer_23,complain,tend,-3.1875,3.625,1.874999761581421,6.8125,1.345679012345679,1
head|inchoative|inchoative_frame|49,head,inchoative,good_to_bad,resid_post_layer_23,disagree,assure,-5.625,2.5625,3.000000238418579,8.1875,0.9492753623188406,1
