regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
head,causative,bad_to_good,resid_post_layer_23,24,20,6.009374964237213,6.2187500357627865,1.0241951640188116,-6.754687476158142,-0.7453125,-0.9218750357627868
head,causative,good_to_bad,resid_post_layer_23,24,20,5.974999976158142,6.1593749761581424,1.0009863708927,0.9218750357627868,6.896874976158142,6.754687476158142
head,causative,bad_to_good,resid_post_layer_16,17,20,5.8328124523162845,6.0453125,1.0,-6.754687476158142,-0.9218750357627868,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_19,20,20,5.8328124523162845,6.0453125,1.0,-6.754687476158142,-0.9218750357627868,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_20,21,20,5.8328124523162845,6.0453125,1.0,-6.754687476158142,-0.9218750357627868,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_21,22,20,5.8328124523162845,6.0453125,1.0,-6.754687476158142,-0.9218750357627868,-0.9218750357627868
head,causative,bad_to_good,resid_post_layer_22,23,20,5.8328124523162845,6.0453125,1.0,-6.754687476158142,-0.9218750357627868,-0.9218750357627868
head,causative,good_to_bad,resid_post_layer_16,17,20,5.8328124523162845,6.0453125,1.0,0.9218750357627868,6.754687476158142,6.754687476158142
head,causative,good_to_bad,resid_post_layer_19,20,20,5.8328124523162845,6.0453125,1.0,0.9218750357627868,6.754687476158142,6.754687476158142
head,causative,good_to_bad,resid_post_layer_20,21,20,5.8328124523162845,6.0453125,1.0,0.9218750357627868,6.754687476158142,6.754687476158142
head,causative,good_to_bad,resid_post_layer_21,22,20,5.8328124523162845,6.0453125,1.0,0.9218750357627868,6.754687476158142,6.754687476158142
head,causative,good_to_bad,resid_post_layer_22,23,20,5.8328124523162845,6.0453125,1.0,0.9218750357627868,6.754687476158142,6.754687476158142
head,inchoative,good_to_bad,resid_post_layer_23,24,18,5.682291679912144,5.682291679912144,1.0849712715352835,-4.932291679912144,0.75,0.3506944643126594
head,inchoative,bad_to_good,resid_post_layer_23,24,18,5.4392360713746815,5.4392360713746815,1.0389367796686697,-0.3506944643126594,5.08854165342119,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_16,17,18,5.282986124356587,5.282986124356587,1.0,-0.3506944643126594,4.932291679912144,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_19,20,18,5.282986124356587,5.282986124356587,1.0,-0.3506944643126594,4.932291679912144,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_20,21,18,5.282986124356587,5.282986124356587,1.0,-0.3506944643126594,4.932291679912144,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_21,22,18,5.282986124356587,5.282986124356587,1.0,-0.3506944643126594,4.932291679912144,4.932291679912144
head,inchoative,bad_to_good,resid_post_layer_22,23,18,5.282986124356587,5.282986124356587,1.0,-0.3506944643126594,4.932291679912144,4.932291679912144
head,inchoative,good_to_bad,resid_post_layer_16,17,18,5.282986124356587,5.282986124356587,1.0,-4.932291679912144,0.3506944643126594,0.3506944643126594
head,inchoative,good_to_bad,resid_post_layer_19,20,18,5.282986124356587,5.282986124356587,1.0,-4.932291679912144,0.3506944643126594,0.3506944643126594
head,inchoative,good_to_bad,resid_post_layer_20,21,18,5.282986124356587,5.282986124356587,1.0,-4.932291679912144,0.3506944643126594,0.3506944643126594
head,inchoative,good_to_bad,resid_post_layer_21,22,18,5.282986124356587,5.282986124356587,1.0,-4.932291679912144,0.3506944643126594,0.3506944643126594
head,inchoative,good_to_bad,resid_post_layer_22,23,18,5.282986124356587,5.282986124356587,1.0,-4.932291679912144,0.3506944643126594,0.3506944643126594
