regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
head,transitive,bad_to_good,resid_post_layer_16,17,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_18,19,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_19,20,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_20,21,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_21,22,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_22,23,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,good_to_bad,resid_post_layer_16,17,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_18,19,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_19,20,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_20,21,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_21,22,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_22,23,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,intransitive,bad_to_good,resid_post_layer_16,17,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_18,19,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_19,20,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_20,21,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_21,22,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_22,23,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,good_to_bad,resid_post_layer_16,17,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_18,19,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_19,20,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_20,21,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_21,22,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_22,23,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
tail,intransitive,bad_to_good,resid_post_layer_20,21,11,4.607954545454546,4.607954545454546,0.9969502866712908,-2.5795454545454546,2.028409069234675,2.03125
tail,intransitive,bad_to_good,resid_post_layer_22,23,11,4.59375,4.59375,0.9975106860352763,-2.5795454545454546,2.014204567128962,2.03125
tail,intransitive,good_to_bad,resid_post_layer_21,22,11,4.59375,4.59375,0.9924090286125355,-2.03125,2.5624999674883755,2.5795454545454546
tail,intransitive,bad_to_good,resid_post_layer_19,20,11,4.590909090909091,4.590909090909091,0.9934433293972103,-2.5795454545454546,2.0113636580380527,2.03125
tail,intransitive,bad_to_good,resid_post_layer_21,22,11,4.588068181818182,4.588068181818182,0.9946762398448793,-2.5795454545454546,2.008522727272727,2.03125
tail,intransitive,good_to_bad,resid_post_layer_20,21,11,4.588068181818182,4.588068181818182,0.9890168970386296,-2.03125,2.556818138469349,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_22,23,11,4.588068181818182,4.588068181818182,0.9921965557211458,-2.03125,2.556818203492598,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_19,20,11,4.58238638531078,4.58238638531078,0.9879354755575548,-2.03125,2.5511364286596123,2.5795454545454546
