pair_id,band,paradigm,source_index,source_pair_id,prefix,suffix,good_verb,bad_verb,sentence_good,sentence_bad,good_whole_lp,good_verb_lp,good_suffix_lp,good_by_lp,good_n_scored_tokens,good_verb_tokens,bad_whole_lp,bad_verb_lp,bad_suffix_lp,bad_by_lp,bad_n_scored_tokens,bad_verb_tokens,whole_margin,verb_margin,suffix_margin,by_margin,correct
head/passive_1/0,head,passive_1,0,0,A piano teacher wasn't , by this major.,dumped,remained,A piano teacher wasn't dumped by this major.,A piano teacher wasn't remained by this major.,-54.419990569353104,-12.495704650878906,-18.072566509246826,-2.0642271041870117,9,1,-62.08975771069527,-16.410743713378906,-21.82729458808899,-5.569955348968506,9,1,7.669767141342163,3.9150390625,3.754728078842163,3.505728244781494,1
head/passive_1/1,head,passive_1,1,1,That electorate was , by some dads.,replaced,proceeded,That electorate was replaced by some dads.,That electorate was proceeded by some dads.,-50.47796708345413,-9.430739402770996,-23.14696890115738,-0.5709496140480042,8,1,-58.769240379333496,-14.383864402770996,-26.485117197036743,-2.521156072616577,8,1,8.291273295879364,4.953125,3.338148295879364,1.950206458568573,1
head/passive_1/2,head,passive_1,2,2,Catherine isn't , by every nomination.,acclaimed,proceeded,Catherine isn't acclaimed by every nomination.,Catherine isn't proceeded by every nomination.,-56.637330904603004,-15.440814018249512,-22.979986429214478,-3.303650140762329,8,1,-60.050990238785744,-17.788471221923828,-24.0459885597229,-1.9782962799072266,8,1,3.4136593341827393,2.3476572036743164,1.0660021305084229,-1.3253538608551025,1
head/passive_1/3,head,passive_1,3,3,The organizers weren't , by Melanie.,formulated,died,The organizers weren't formulated by Melanie.,The organizers weren't died by Melanie.,-55.66649150848389,-14.220979690551758,-21.237305164337158,-3.594176769256592,8,1,-57.83037447929382,-16.648714065551758,-20.973453760147095,-3.396993637084961,8,1,2.1638829708099365,2.427734375,-0.2638514041900635,-0.19718313217163086,1
head/passive_1/4,head,passive_1,4,4,Most spikes aren't , by this heavyweight.,pronounced,progressed,Most spikes aren't pronounced by this heavyweight.,Most spikes aren't progressed by this heavyweight.,-57.32196760177612,-8.136059761047363,-26.938572883605957,-3.7811388969421387,9,1,-61.252912521362305,-13.386059761047363,-25.61951780319214,-3.5038323402404785,9,1,3.9309449195861816,5.25,-1.3190550804138184,-0.27730655670166016,1
head/passive_1/5,head,passive_1,5,5,Those authors weren't , by that woman.,attended,competed,Those authors weren't attended by that woman.,Those authors weren't competed by that woman.,-46.750707000494,-13.770195007324219,-14.780653059482574,-0.6681950688362122,8,1,-49.554026395082474,-13.996757507324219,-17.357409954071045,-2.853050708770752,8,1,2.8033193945884705,0.2265625,2.5767568945884705,2.18485563993454,1
head/passive_1/6,head,passive_1,6,6,All lights were , by every prostitute.,endorsed,progressed,All lights were endorsed by every prostitute.,All lights were progressed by every prostitute.,-52.59028095006943,-16.29880714416504,-22.990407645702362,-0.7818078398704529,8,1,-56.76891827583313,-16.34568214416504,-27.122169971466064,-3.4205524921417236,8,1,4.178637325763702,0.046875,4.131762325763702,2.6387446522712708,1
head/passive_1/7,head,passive_1,7,7,The opinion wasn't , by that wrong.,defined,emerged,The opinion wasn't defined by that wrong.,The opinion wasn't emerged by that wrong.,-48.74312275648117,-9.826152801513672,-20.19815969467163,-1.75252103805542,8,1,-55.614937484264374,-14.513652801513672,-22.382474422454834,-3.5658864974975586,8,1,6.871814727783203,4.6875,2.184314727783203,1.8133654594421387,1
head/passive_1/8,head,passive_1,8,8,A lamb was , by some artists' daughters.,regarded,died,A lamb was regarded by some artists' daughters.,A lamb was died by some artists' daughters.,-61.74842429161072,-8.459141731262207,-38.3741660118103,-2.7268030643463135,9,1,-60.67208528518677,-9.490391731262207,-36.26657700538635,-3.817330837249756,9,1,-1.0763390064239502,1.03125,-2.10758900642395,1.0905277729034424,0
head/passive_1/9,head,passive_1,9,9,The boiler was , by these chefs.,slain,vanished,The boiler was slain by these chefs.,The boiler was vanished by these chefs.,-47.14001226425171,-12.976411819458008,-19.969916820526123,-1.7875401973724365,7,1,-51.60751402378082,-14.117036819458008,-23.296793580055237,-4.572157859802246,7,1,4.467501759529114,1.140625,3.3268767595291138,2.7846176624298096,1
