lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,0.8631028011441231,moves,0.9760538935661316,0.11295109242200851,10.77097749710083,aligns,8.712611198425293,-2.058366298675537,-10.77097749710083,2,"['Ġbek', 'up']",driver,animate
bifum,0.9020120948553085,moves,0.9911128878593445,0.08910079300403595,8.044342756271362,aligns,10.208176612854004,2.1638338565826416,-8.044342756271362,2,"['Ġbif', 'um']",shirt,inanimate
bipum,0.6658147871494293,moves,0.9396263957023621,0.27381160855293274,4.684602737426758,aligns,7.568526744842529,2.8839240074157715,-4.684602737426758,2,"['Ġbip', 'um']",paper,inanimate
bufen,0.8233535587787628,moves,0.9970059990882874,0.17365244030952454,8.78959608078003,aligns,11.24435043334961,2.45475435256958,-8.78959608078003,2,"['Ġbuf', 'en']",student,animate
bufum,0.5017023384571075,moves,0.9981064796447754,0.49640414118766785,6.407612323760986,aligns,8.856599807739258,2.4489874839782715,-6.407612323760986,2,"['Ġbuf', 'um']",student,animate
buviv,0.6317179799079895,moves,0.9872459173202515,0.35552793741226196,4.724625825881958,aligns,7.625463008880615,2.9008371829986572,-4.724625825881958,2,"['Ġbu', 'viv']",chef,animate
dezip,0.9066770286299288,moves,0.9130623936653137,0.006385365035384893,12.513754606246948,aligns,13.32668685913086,0.8129322528839111,-12.513754606246948,2,"['Ġde', 'zip']",box,inanimate
difev,0.8431560471653938,moves,0.903806209564209,0.060650162398815155,6.4074572920799255,aligns,6.009804725646973,-0.3976525664329529,-6.4074572920799255,2,"['Ġdif', 'ev']",box,inanimate
dizop,0.7989932000637054,moves,0.9983715415000916,0.1993783414363861,8.880961894989014,aligns,12.674415588378906,3.7934536933898926,-8.880961894989014,2,"['Ġdiz', 'op']",student,animate
dizup,0.9795104246586561,moves,0.990312397480011,0.010801972821354866,14.15797209739685,aligns,11.480873107910156,-2.6770989894866943,-14.15797209739685,2,"['Ġdiz', 'up']",driver,animate
dokip,0.9274898935109377,moves,0.9564207792282104,0.02893088571727276,7.270463228225708,aligns,4.663046360015869,-2.607416868209839,-7.270463228225708,2,"['Ġdo', 'kip']",box,inanimate
draicken,0.8739852234721184,moves,0.9812867641448975,0.10730154067277908,9.25080543756485,aligns,9.88994026184082,0.6391348242759705,-9.25080543756485,2,"['Ġdra', 'icken']",student,animate
draickle,0.9248346611857414,moves,0.9936714768409729,0.06883681565523148,11.268455028533936,aligns,15.331361770629883,4.062906742095947,-11.268455028533936,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,0.7792080938816071,moves,0.9967701435089111,0.21756204962730408,7.385766267776489,aligns,10.30120849609375,2.9154422283172607,-7.385766267776489,3,"['Ġdra', 'ick', 'op']",chef,animate
