lemma,n_t_plus,n_t_minus,mean_coord_raw_t_plus,mean_coord_raw_t_minus,delta_coord_raw,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_calibrated,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,1,1,-8.712611198425293,2.058366298675537,-10.77097749710083,8.712611198425293,-2.058366298675537,10.77097749710083,2,"['Ġbek', 'up']",driver,animate
bifum,1,1,-10.208176612854004,-2.1638338565826416,-8.044342756271362,10.208176612854004,2.1638338565826416,8.044342756271362,2,"['Ġbif', 'um']",shirt,inanimate
bipum,1,1,-7.568526744842529,-2.8839240074157715,-4.684602737426758,7.568526744842529,2.8839240074157715,4.684602737426758,2,"['Ġbip', 'um']",paper,inanimate
bufen,1,1,-11.24435043334961,-2.45475435256958,-8.78959608078003,11.24435043334961,2.45475435256958,8.78959608078003,2,"['Ġbuf', 'en']",student,animate
bufum,1,1,-8.856599807739258,-2.4489874839782715,-6.407612323760986,8.856599807739258,2.4489874839782715,6.407612323760986,2,"['Ġbuf', 'um']",student,animate
buviv,1,1,-7.625463008880615,-2.9008371829986572,-4.724625825881958,7.625463008880615,2.9008371829986572,4.724625825881958,2,"['Ġbu', 'viv']",chef,animate
dezip,1,1,-13.32668685913086,-0.8129322528839111,-12.513754606246948,13.32668685913086,0.8129322528839111,12.513754606246948,2,"['Ġde', 'zip']",box,inanimate
difev,1,1,-6.009804725646973,0.3976525664329529,-6.4074572920799255,6.009804725646973,-0.3976525664329529,6.4074572920799255,2,"['Ġdif', 'ev']",box,inanimate
dizop,1,1,-12.674415588378906,-3.7934536933898926,-8.880961894989014,12.674415588378906,3.7934536933898926,8.880961894989014,2,"['Ġdiz', 'op']",student,animate
dizup,1,1,-11.480873107910156,2.6770989894866943,-14.15797209739685,11.480873107910156,-2.6770989894866943,14.15797209739685,2,"['Ġdiz', 'up']",driver,animate
dokip,1,1,-4.663046360015869,2.607416868209839,-7.270463228225708,4.663046360015869,-2.607416868209839,7.270463228225708,2,"['Ġdo', 'kip']",box,inanimate
draicken,1,1,-9.88994026184082,-0.6391348242759705,-9.25080543756485,9.88994026184082,0.6391348242759705,9.25080543756485,2,"['Ġdra', 'icken']",student,animate
draickle,1,1,-15.331361770629883,-4.062906742095947,-11.268455028533936,15.331361770629883,4.062906742095947,11.268455028533936,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,1,1,-10.30120849609375,-2.9154422283172607,-7.385766267776489,10.30120849609375,2.9154422283172607,7.385766267776489,3,"['Ġdra', 'ick', 'op']",chef,animate
droocken,1,1,-13.133598327636719,-3.649487257003784,-9.484111070632935,13.133598327636719,3.649487257003784,9.484111070632935,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,1,1,-8.520224571228027,1.1799335479736328,-9.70015811920166,8.520224571228027,-1.1799335479736328,9.70015811920166,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,1,1,-14.25798225402832,-0.5335490703582764,-13.724433183670044,14.25798225402832,0.5335490703582764,13.724433183670044,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,1,1,-10.487000465393066,-1.4932559728622437,-8.993744492530823,10.487000465393066,1.4932559728622437,8.993744492530823,2,"['Ġfaz', 'up']",chef,animate
fegom,1,1,-8.540569305419922,-2.381570816040039,-6.158998489379883,8.540569305419922,2.381570816040039,6.158998489379883,2,"['Ġfe', 'gom']",driver,animate
felev,1,1,-7.554563045501709,-2.20727276802063,-5.347290277481079,7.554563045501709,2.20727276802063,5.347290277481079,2,"['Ġfe', 'lev']",paper,inanimate
feviv,1,1,-5.527048587799072,-0.2485179305076599,-5.278530657291412,5.527048587799072,0.2485179305076599,5.278530657291412,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,1,1,-8.956853866577148,-5.632277488708496,-3.3245763778686523,8.956853866577148,5.632277488708496,3.3245763778686523,2,"['Ġfif', 'um']",driver,animate
fifup,1,1,-15.983179092407227,1.422397494316101,-17.405576586723328,15.983179092407227,-1.422397494316101,17.405576586723328,2,"['Ġfif', 'up']",shirt,inanimate
gefle,1,1,-7.862839698791504,-0.8979259729385376,-6.964913725852966,7.862839698791504,0.8979259729385376,6.964913725852966,2,"['Ġgef', 'le']",paper,inanimate
givom,1,1,-8.535481452941895,-0.9798785448074341,-7.5556029081344604,8.535481452941895,0.9798785448074341,7.5556029081344604,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,1,1,-4.371467590332031,5.087724685668945,-9.459192276000977,4.371467590332031,-5.087724685668945,9.459192276000977,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,1,1,-4.078060626983643,-1.26035737991333,-2.8177032470703125,4.078060626983643,1.26035737991333,2.8177032470703125,3,"['Ġgle', 'es', 'hev']",student,animate
gleeshiv,1,1,-3.777703046798706,-1.305715560913086,-2.47198748588562,3.777703046798706,1.305715560913086,2.47198748588562,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,1,1,-14.717428207397461,1.978257417678833,-16.695685625076294,14.717428207397461,-1.978257417678833,16.695685625076294,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,1,1,-11.109635353088379,-3.1816980838775635,-7.927937269210815,11.109635353088379,3.1816980838775635,7.927937269210815,2,"['Ġglo', 'ocket']",student,animate
gufen,1,1,-10.170419692993164,2.552405834197998,-12.722825527191162,10.170419692993164,-2.552405834197998,12.722825527191162,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,1,1,-4.077467918395996,5.3392109870910645,-9.41667890548706,4.077467918395996,-5.3392109870910645,9.41667890548706,2,"['Ġke', 'kom']",driver,animate
kloolen,1,1,-9.413615226745605,-2.3475985527038574,-7.066016674041748,9.413615226745605,2.3475985527038574,7.066016674041748,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,1,1,-7.567507743835449,2.551326274871826,-10.118834018707275,7.567507743835449,-2.551326274871826,10.118834018707275,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,1,1,-11.818449974060059,-0.6265702247619629,-11.191879749298096,11.818449974060059,0.6265702247619629,11.191879749298096,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,1,1,-16.555570602416992,-2.1550323963165283,-14.400538206100464,16.555570602416992,2.1550323963165283,14.400538206100464,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,1,1,-6.961472511291504,1.1382580995559692,-8.099730610847473,6.961472511291504,-1.1382580995559692,8.099730610847473,2,"['Ġme', 'xiv']",driver,animate
mulom,1,1,-8.212697982788086,-1.1829400062561035,-7.029757976531982,8.212697982788086,1.1829400062561035,7.029757976531982,2,"['Ġmul', 'om']",chef,animate
navip,1,1,-6.215131759643555,1.0144034624099731,-7.229535222053528,6.215131759643555,-1.0144034624099731,7.229535222053528,2,"['Ġnav', 'ip']",box,inanimate
negiv,1,1,-5.612521648406982,-1.8818902969360352,-3.7306313514709473,5.612521648406982,1.8818902969360352,3.7306313514709473,2,"['Ġneg', 'iv']",paper,inanimate
nexev,1,1,-8.159318923950195,-2.9085042476654053,-5.25081467628479,8.159318923950195,2.9085042476654053,5.25081467628479,2,"['Ġnex', 'ev']",student,animate
nexip,1,1,-8.61528205871582,-2.9816651344299316,-5.633616924285889,8.61528205871582,2.9816651344299316,5.633616924285889,2,"['Ġnex', 'ip']",driver,animate
noviv,1,1,-3.038039207458496,1.4324944019317627,-4.470533609390259,3.038039207458496,-1.4324944019317627,4.470533609390259,2,"['Ġnov', 'iv']",paper,inanimate
nudup,1,1,-12.82437515258789,-3.5924742221832275,-9.231900930404663,12.82437515258789,3.5924742221832275,9.231900930404663,2,"['Ġnud', 'up']",shirt,inanimate
pefet,1,1,-7.510067939758301,-1.3512659072875977,-6.158802032470703,7.510067939758301,1.3512659072875977,6.158802032470703,2,"['Ġpe', 'fet']",shirt,inanimate
pleeshop,1,1,-12.672266960144043,2.1545090675354004,-14.826776027679443,12.672266960144043,-2.1545090675354004,14.826776027679443,3,"['Ġple', 'es', 'hop']",box,inanimate
sezip,1,1,-16.98699951171875,-9.75049114227295,-7.236508369445801,16.98699951171875,9.75049114227295,7.236508369445801,2,"['Ġse', 'zip']",student,animate
skaickle,1,1,-11.910384178161621,0.7625913023948669,-12.672975480556488,11.910384178161621,-0.7625913023948669,12.672975480556488,3,"['Ġska', 'ick', 'le']",box,inanimate
skaickop,1,1,-9.39502239227295,-5.940922260284424,-3.4541001319885254,9.39502239227295,5.940922260284424,3.4541001319885254,3,"['Ġska', 'ick', 'op']",student,animate
skaickum,1,1,-3.3539562225341797,0.7843034267425537,-4.138259649276733,3.3539562225341797,-0.7843034267425537,4.138259649276733,3,"['Ġska', 'ick', 'um']",shirt,inanimate
sugop,1,1,-9.928362846374512,-4.434208393096924,-5.494154453277588,9.928362846374512,4.434208393096924,5.494154453277588,2,"['Ġsug', 'op']",driver,animate
tekom,1,1,-3.162327289581299,3.5937681198120117,-6.7560954093933105,3.162327289581299,-3.5937681198120117,6.7560954093933105,2,"['Ġte', 'kom']",chef,animate
texev,1,1,-6.518836975097656,-3.2704436779022217,-3.2483932971954346,6.518836975097656,3.2704436779022217,3.2483932971954346,2,"['Ġtex', 'ev']",student,animate
texom,1,1,-1.807252287864685,-0.0010745227336883545,-1.8061777651309967,1.807252287864685,0.0010745227336883545,1.8061777651309967,2,"['Ġtex', 'om']",paper,inanimate
tobiv,1,1,-1.9758384227752686,0.7416224479675293,-2.717460870742798,1.9758384227752686,-0.7416224479675293,2.717460870742798,2,"['Ġtob', 'iv']",paper,inanimate
tozip,1,1,-7.152524471282959,6.312926292419434,-13.465450763702393,7.152524471282959,-6.312926292419434,13.465450763702393,2,"['Ġto', 'zip']",shirt,inanimate
vedev,1,1,-5.872498512268066,1.104907512664795,-6.977406024932861,5.872498512268066,-1.104907512664795,6.977406024932861,2,"['Ġved', 'ev']",driver,animate
vedup,1,1,-10.410720825195312,1.455857753753662,-11.866578578948975,10.410720825195312,-1.455857753753662,11.866578578948975,2,"['Ġved', 'up']",student,animate
vefet,1,1,-10.421725273132324,-4.873248100280762,-5.5484771728515625,10.421725273132324,4.873248100280762,5.5484771728515625,2,"['Ġve', 'fet']",driver,animate
veket,1,1,-8.99655818939209,-0.23200905323028564,-8.764549136161804,8.99655818939209,0.23200905323028564,8.764549136161804,2,"['Ġve', 'ket']",box,inanimate
vezev,1,1,-5.193453311920166,-2.0828447341918945,-3.1106085777282715,5.193453311920166,2.0828447341918945,3.1106085777282715,2,"['Ġvez', 'ev']",student,animate
vezop,1,1,-13.520264625549316,-6.12877893447876,-7.391485691070557,13.520264625549316,6.12877893447876,7.391485691070557,2,"['Ġvez', 'op']",chef,animate
vidiv,1,1,-5.519999980926514,-0.6776033639907837,-4.84239661693573,5.519999980926514,0.6776033639907837,4.84239661693573,2,"['Ġvid', 'iv']",shirt,inanimate
viget,1,1,-11.543498992919922,3.4278504848480225,-14.971349477767944,11.543498992919922,-3.4278504848480225,14.971349477767944,2,"['Ġvig', 'et']",shirt,inanimate
vilom,1,1,-7.7594780921936035,-2.044067144393921,-5.715410947799683,7.7594780921936035,2.044067144393921,5.715410947799683,2,"['Ġvil', 'om']",student,animate
vizop,1,1,-6.17399787902832,-1.0717707872390747,-5.102227091789246,6.17399787902832,1.0717707872390747,5.102227091789246,2,"['Ġviz', 'op']",box,inanimate
vomom,1,1,-8.968749046325684,-1.195392370223999,-7.773356676101685,8.968749046325684,1.195392370223999,7.773356676101685,2,"['Ġvom', 'om']",student,animate
vomum,1,1,-14.339533805847168,-5.168889999389648,-9.17064380645752,14.339533805847168,5.168889999389648,9.17064380645752,2,"['Ġvom', 'um']",driver,animate
vonen,1,1,-10.332646369934082,-3.0637364387512207,-7.268909931182861,10.332646369934082,3.0637364387512207,7.268909931182861,2,"['Ġvon', 'en']",student,animate
vonop,1,1,-11.135370254516602,-1.739806890487671,-9.39556336402893,11.135370254516602,1.739806890487671,9.39556336402893,2,"['Ġvon', 'op']",shirt,inanimate
voocket,1,1,-11.909332275390625,-3.711973190307617,-8.197359085083008,11.909332275390625,3.711973190307617,8.197359085083008,2,"['Ġvo', 'ocket']",chef,animate
voockip,1,1,-6.85054349899292,1.76627516746521,-8.61681866645813,6.85054349899292,-1.76627516746521,8.61681866645813,3,"['Ġvo', 'ock', 'ip']",driver,animate
voockle,1,1,-11.583794593811035,7.172359466552734,-18.75615406036377,11.583794593811035,-7.172359466552734,18.75615406036377,3,"['Ġvo', 'ock', 'le']",paper,inanimate
voockum,1,1,-6.563283443450928,-2.444448709487915,-4.118834733963013,6.563283443450928,2.444448709487915,4.118834733963013,3,"['Ġvo', 'ock', 'um']",chef,animate
votup,1,1,-12.230310440063477,-3.4501771926879883,-8.780133247375488,12.230310440063477,3.4501771926879883,8.780133247375488,2,"['Ġvot', 'up']",chef,animate
voxev,1,1,-5.8710150718688965,-2.1818370819091797,-3.689177989959717,5.8710150718688965,2.1818370819091797,3.689177989959717,2,"['Ġvox', 'ev']",student,animate
zeble,1,1,-13.306381225585938,3.2832462787628174,-16.589627504348755,13.306381225585938,-3.2832462787628174,16.589627504348755,2,"['Ġze', 'ble']",driver,animate
zezet,1,1,-8.674184799194336,-2.7719078063964844,-5.902276992797852,8.674184799194336,2.7719078063964844,5.902276992797852,2,"['Ġze', 'zet']",box,inanimate
zumum,1,1,-4.4916181564331055,4.055511474609375,-8.54712963104248,4.4916181564331055,-4.055511474609375,8.54712963104248,2,"['Ġzum', 'um']",student,animate
zuven,1,1,-9.66808032989502,3.4024887084960938,-13.070569038391113,9.66808032989502,-3.4024887084960938,13.070569038391113,2,"['Ġzu', 'ven']",shirt,inanimate
