lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,1,1,0.9760538935661316,0.11295109242200851,0.8631028011441231,0.11581921577453613,0.0023836747277528048,0.0028414602857083082,0.018719924613833427,2,"['Ġbek', 'up']",driver,animate
bifum,1,1,0.9911128878593445,0.08910079300403595,0.9020120948553085,0.8655517101287842,0.05245857685804367,0.007761239539831877,0.5362968444824219,2,"['Ġbif', 'um']",shirt,inanimate
bipum,1,1,0.9396263957023621,0.27381160855293274,0.6658147871494293,0.6416679620742798,0.12139277905225754,0.041228968650102615,0.32195138931274414,2,"['Ġbip', 'um']",paper,inanimate
bufen,1,1,0.9970059990882874,0.17365244030952454,0.8233535587787628,0.8959307074546814,0.123560331761837,0.002690471475943923,0.5879778265953064,2,"['Ġbuf', 'en']",student,animate
bufum,1,1,0.9981064796447754,0.49640414118766785,0.5017023384571075,0.7060697674751282,0.13007408380508423,0.0013394803972914815,0.13195854425430298,2,"['Ġbuf', 'um']",student,animate
buviv,1,1,0.9872459173202515,0.35552793741226196,0.6317179799079895,0.09439731389284134,0.019460750743746758,0.0012195045128464699,0.035276859998703,2,"['Ġbu', 'viv']",chef,animate
dezip,1,1,0.9130623936653137,0.006385365035384893,0.9066770286299288,0.6605924963951111,0.004960531368851662,0.06289859116077423,0.7718989253044128,2,"['Ġde', 'zip']",box,inanimate
difev,1,1,0.903806209564209,0.060650162398815155,0.8431560471653938,0.02535024657845497,0.0011368145933374763,0.002698075957596302,0.017606986686587334,2,"['Ġdif', 'ev']",box,inanimate
dizop,1,1,0.9983715415000916,0.1993783414363861,0.7989932000637054,0.9274708032608032,0.11238061636686325,0.001512798946350813,0.45127448439598083,2,"['Ġdiz', 'op']",student,animate
dizup,1,1,0.990312397480011,0.010801972821354866,0.9795104246586561,0.8944728970527649,0.008340729400515556,0.008750070817768574,0.763808012008667,2,"['Ġdiz', 'up']",driver,animate
dokip,1,1,0.9564207792282104,0.02893088571727276,0.9274898935109377,0.6154013872146606,0.0024181094486266375,0.028040723875164986,0.0811641737818718,2,"['Ġdo', 'kip']",box,inanimate
draicken,1,1,0.9812867641448975,0.10730154067277908,0.8739852234721184,0.8883953094482422,0.07797501981258392,0.01694180630147457,0.6487155556678772,2,"['Ġdra', 'icken']",student,animate
