target,label,token_id,mean_p_raw_t_plus,mean_p_raw_t_minus,delta_p_raw,share_object_mass_t_plus,share_object_mass_t_minus
 the,the,253,0.5476411690528039,0.03797341193418333,0.5096677571186206,0.9268952071651518,0.5717561861393733
 a,a,247,0.02098027127358364,0.0074125913324337486,0.013567679941149892,0.03550958910219248,0.111609537667773
 an,an,271,0.0021938703064734,0.0011406100950097197,0.0010532602114636804,0.0037131756835032015,0.017173881528611473
 this,this,436,0.0012904956501188281,0.0009787184438252439,0.00031177720629358427,0.002184193410863318,0.014736319341429717
 that,that,326,0.001731197995468392,0.0014607553248737303,0.0002704426705946617,0.0029300922124407534,0.02199422835325338
 my,my,619,0.0012048848848962735,0.0008752287296548644,0.00032965615524140903,0.002039295232182241,0.01317810054399148
 his,his,521,0.0041758239328601125,0.004540926064981932,-0.0003651021321218195,0.007067677537881328,0.06837159044214756
 her,her,617,0.002509561155238771,0.0034467257227191795,-0.0009371645674804085,0.004247489667188214,0.05189648897776284
 their,their,616,0.0007071210776075532,0.0010486048802619053,-0.0003414838026543521,0.0011968186008614369,0.01578858197269271
 its,its,697,0.0019052774026135921,0.0013578318417398982,0.000547445560873694,0.0032247255914982713,0.020444535155213245
 our,our,776,0.00046099230005438587,0.0005067677371929591,-4.577543713857324e-05,0.00078024001409443,0.0076302753404968145
 your,your,634,0.0009177336046150231,0.0011722831046370175,-0.00025454950002199437,0.0015532851210644536,0.017650774129662095
 it,it,352,0.004580097129291971,0.0037405775692377573,0.0008395195600542139,0.007751919171515513,0.0563209428916402
 them,them,731,0.0005354698053452011,0.0007603598305877312,-0.00022489002524253012,0.0009062948956422738,0.011448548199564645
