lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
bekup,1,1,0.76819908618927,0.07083926349878311,0.6973598226904869,0.009416732005774975,0.001427208073437214,0.0028414602857083082,0.018719924613833427,2,"['Ġbek', 'up']",driver,animate
bifum,1,1,0.9066956639289856,0.04712923988699913,0.8595664240419865,0.07542072981595993,0.026525383815169334,0.007761239539831877,0.5362968444824219,2,"['Ġbif', 'um']",shirt,inanimate
bipum,1,1,0.6431176662445068,0.17256206274032593,0.4705556035041809,0.07429639995098114,0.06714291125535965,0.041228968650102615,0.32195138931274414,2,"['Ġbip', 'um']",paper,inanimate
bufen,1,1,0.9748450517654419,0.09635695815086365,0.8784880936145782,0.10426561534404755,0.06269705295562744,0.002690471475943923,0.5879778265953064,2,"['Ġbuf', 'en']",student,animate
bufum,1,1,0.9765337109565735,0.31587547063827515,0.6606582403182983,0.05574154481291771,0.060928188264369965,0.0013394803972914815,0.13195854425430298,2,"['Ġbuf', 'um']",student,animate
buviv,1,1,0.9216785430908203,0.2532002329826355,0.6684783101081848,0.014351001009345055,0.011960513889789581,0.0012195045128464699,0.035276859998703,2,"['Ġbu', 'viv']",chef,animate
dezip,1,1,0.3033202886581421,0.004074029624462128,0.29924625903367996,0.02738477848470211,0.00315760332159698,0.06289859116077423,0.7718989253044128,2,"['Ġde', 'zip']",box,inanimate
difev,1,1,0.7680853009223938,0.03867293894290924,0.7294123619794846,0.008935840800404549,0.0007083062082529068,0.002698075957596302,0.017606986686587334,2,"['Ġdif', 'ev']",box,inanimate
dizop,1,1,0.9843817949295044,0.12639443576335907,0.8579873591661453,0.09534825384616852,0.06529100239276886,0.001512798946350813,0.45127448439598083,2,"['Ġdiz', 'op']",student,animate
dizup,1,1,0.8666672706604004,0.005874082446098328,0.8607931882143021,0.05687578767538071,0.004513182211667299,0.008750070817768574,0.763808012008667,2,"['Ġdiz', 'up']",driver,animate
dokip,1,1,0.3701309859752655,0.015789637342095375,0.35434134863317013,0.016477618366479874,0.0013021128252148628,0.028040723875164986,0.0811641737818718,2,"['Ġdo', 'kip']",box,inanimate
draicken,1,1,0.8787379264831543,0.06695598363876343,0.8117819428443909,0.1227705106139183,0.046552348881959915,0.01694180630147457,0.6487155556678772,2,"['Ġdra', 'icken']",student,animate
draickle,1,1,0.8988202214241028,0.04197492450475693,0.8568452969193459,0.05255008488893509,0.02918306365609169,0.00591553607955575,0.6660668253898621,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,1,1,0.9340000748634338,0.15734538435935974,0.7766546905040741,0.04192180559039116,0.07423043996095657,0.0029623503796756268,0.39753708243370056,3,"['Ġdra', 'ick', 'op']",chef,animate
droocken,1,1,0.5243826508522034,0.023724857717752457,0.5006577931344509,0.029863551259040833,0.014356164261698723,0.027086367830634117,0.590754508972168,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,1,1,0.41485267877578735,0.03289628401398659,0.38195639476180077,0.026069924235343933,0.000978022231720388,0.03677147626876831,0.028752455487847328,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,1,1,0.6498716473579407,0.01414115633815527,0.6357304910197854,0.030069157481193542,0.009056603536009789,0.016200220212340355,0.6313862800598145,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,1,1,0.9212167859077454,0.08136262744665146,0.8398541584610939,0.03469602018594742,0.005032129120081663,0.0029672307427972555,0.05681603401899338,2,"['Ġfaz', 'up']",chef,animate
fegom,1,1,0.9239897131919861,0.16591224074363708,0.758077472448349,0.07349029183387756,0.04911451041698456,0.006045539863407612,0.24691252410411835,2,"['Ġfe', 'gom']",driver,animate
felev,1,1,0.9542388916015625,0.1975589245557785,0.756679967045784,0.1212553009390831,0.06234574317932129,0.005814875941723585,0.25323474407196045,2,"['Ġfe', 'lev']",paper,inanimate
feviv,1,1,0.8587568402290344,0.06984064728021622,0.7889161929488182,0.025942577049136162,0.012737397104501724,0.00426687765866518,0.16964060068130493,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,1,1,0.9384526610374451,0.5457449555397034,0.3927077054977417,0.08226736634969711,0.13483163714408875,0.005395413842052221,0.112228162586689,2,"['Ġfif', 'um']",driver,animate
fifup,1,1,0.9342281222343445,0.01414429023861885,0.9200838319957256,0.0739150196313858,0.007086762227118015,0.00520379189401865,0.4939466416835785,2,"['Ġfif', 'up']",shirt,inanimate
gefle,1,1,0.3079673647880554,0.08940305560827255,0.21856430917978287,0.02726956456899643,0.024279095232486725,0.061277370899915695,0.24728985130786896,2,"['Ġgef', 'le']",paper,inanimate
givom,1,1,0.7687824964523315,0.04208110645413399,0.7267013899981976,0.044642411172389984,0.02643326297402382,0.013426563702523708,0.6017171144485474,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,1,1,0.5982759594917297,0.006886221002787352,0.5913897384889424,0.06328213214874268,0.00453813886269927,0.04249202460050583,0.6544792056083679,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,1,1,0.7783347964286804,0.2339363992214203,0.5443983972072601,0.011977722868323326,0.049340590834617615,0.0034111845307052135,0.16157396137714386,3,"['Ġgle', 'es', 'hev']",student,animate
gleeshiv,1,1,0.6166073679924011,0.17116610705852509,0.44544126093387604,0.012655630707740784,0.012737244367599487,0.007868985645473003,0.061677273362874985,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,1,1,0.9283124208450317,0.06293239444494247,0.8653800264000893,0.028132570907473564,0.0358537882566452,0.0021724964026361704,0.5338653326034546,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,1,1,0.8682143092155457,0.08164337277412415,0.7865709364414215,0.014075476676225662,0.004032181575894356,0.0021365073043853045,0.045355554670095444,2,"['Ġglo', 'ocket']",student,animate
gufen,1,1,0.5306038856506348,0.03923869878053665,0.4913651868700981,0.024920521304011345,0.017785077914595604,0.022045817226171494,0.4354684352874756,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,1,1,0.6570063829421997,0.011051111854612827,0.6459552710875869,0.04138748720288277,0.00654579745605588,0.021606553345918655,0.5857744812965393,2,"['Ġke', 'kom']",driver,animate
kloolen,1,1,0.77447509765625,0.07225535064935684,0.7022197470068932,0.0456140972673893,0.03152432665228844,0.013282693922519684,0.4047662317752838,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,1,1,0.5403119325637817,0.020844144746661186,0.5194677878171206,0.027892636135220528,0.012129310518503189,0.023730576038360596,0.5697756409645081,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,1,1,0.8056944608688354,0.03764678165316582,0.7680476792156696,0.028860652819275856,0.003958883695304394,0.0069601889699697495,0.10119974613189697,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,1,1,0.957150936126709,0.040338486433029175,0.9168124496936798,0.07490141689777374,0.02428150549530983,0.0033531312365084887,0.5776624083518982,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,1,1,0.7213987112045288,0.02441059798002243,0.6969881132245064,0.030423307791352272,0.014089487493038177,0.011749358847737312,0.5630978345870972,2,"['Ġme', 'xiv']",driver,animate
mulom,1,1,0.8689307570457458,0.0949418693780899,0.773988887667656,0.0953727662563324,0.027405356988310814,0.014386001974344254,0.26124870777130127,2,"['Ġmul', 'om']",chef,animate
navip,1,1,0.7692916989326477,0.0958389937877655,0.6734527051448822,0.010953960008919239,0.00037793273804709315,0.0032850601710379124,0.0035654802341014147,2,"['Ġnav', 'ip']",box,inanimate
negiv,1,1,0.7016209959983826,0.0770510733127594,0.6245699226856232,0.013408772647380829,0.013064898550510406,0.0057023619301617146,0.15649662911891937,2,"['Ġneg', 'iv']",paper,inanimate
