target,label,token_id,mean_p_raw_t_plus,mean_p_raw_t_minus,delta_p_raw,share_object_mass_t_plus,share_object_mass_t_minus
 a,a,247,0.02098027127358364,0.0074125913324337486,0.013567679941149892,0.47169762304659757,0.2529435159910211
 an,an,271,0.0021938703064734,0.0011406100950097197,0.0010532602114636804,0.04932459620476832,0.038921601754063756
 this,this,436,0.0012904956501188281,0.0009787184438252439,0.00031177720629358427,0.029014101999694914,0.03339729296328781
 that,that,326,0.001731197995468392,0.0014607553248737303,0.0002704426705946617,0.03892237468414731,0.04984607559025581
 my,my,619,0.0012048848848962735,0.0008752287296548644,0.00032965615524140903,0.027089322575440042,0.029865862320858624
 his,his,521,0.0041758239328601125,0.004540926064981932,-0.0003651021321218195,0.09388468803410095,0.15495226341510548
 her,her,617,0.002509561155238771,0.0034467257227191795,-0.0009371645674804085,0.056422246232186335,0.11761432458128498
 their,their,616,0.0007071210776075532,0.0010486048802619053,-0.0003414838026543521,0.01589814198130043,0.03578206235898149
 its,its,697,0.0019052774026135921,0.0013578318417398982,0.000547445560873694,0.04283618692713487,0.04633396672921511
 our,our,776,0.00046099230005438587,0.0005067677371929591,-4.577543713857324e-05,0.010364449979835521,0.017292685848676725
 your,your,634,0.0009177336046150231,0.0011722831046370175,-0.00025454950002199437,0.020633325195940137,0.04000239550861649
 it,it,352,0.004580097129291971,0.0037405775692377573,0.0008395195600542139,0.1029739273166484,0.12764157630817322
 them,them,731,0.0005354698053452011,0.0007603598305877312,-0.00022489002524253012,0.012038921284710943,0.02594613413067405
 some,some,690,0.0010191292300760324,0.000696269108002312,0.0003228601220737204,0.022912994266639983,0.023759134741913938
 these,these,841,0.00016507864631876146,0.0001089996254215464,5.607902089721506e-05,0.0037114489164090415,0.003719448066048723
 those,those,1110,0.00010121701278080764,5.80734051292886e-05,4.314360765151904e-05,0.0022756533372711215,0.001981667492540747
