target,label,token_id,cos_raw_axis_readout_minus_period,cos_calibrated_axis_readout_minus_period,readout_direction_norm
<object_centroid>,object_centroid,,-0.48393526673316956,0.48393526673316956,0.8670268654823303
 the,the,253,-0.5661439299583435,0.5661439299583435,0.9157512187957764
 a,a,247,-0.36013585329055786,0.36013585329055786,0.9415123462677002
 an,an,271,-0.343379944562912,0.343379944562912,1.0313794612884521
 this,this,436,-0.3734647035598755,0.3734647035598755,1.0955777168273926
 that,that,326,-0.2832823693752289,0.2832823693752289,0.9913067817687988
 my,my,619,-0.31913015246391296,0.31913015246391296,1.2220150232315063
 his,his,521,-0.34827157855033875,0.34827157855033875,1.2528589963912964
 her,her,617,-0.31733420491218567,0.31733420491218567,1.291872501373291
 their,their,616,-0.3685653805732727,0.3685653805732727,1.2766445875167847
 its,its,697,-0.3532143831253052,0.3532143831253052,1.2748898267745972
 our,our,776,-0.38326001167297363,0.38326001167297363,1.2361444234848022
 your,your,634,-0.38556039333343506,0.38556039333343506,1.2843053340911865
 it,it,352,-0.3504939675331116,0.3504939675331116,1.0738918781280518
 them,them,731,-0.3652789890766144,0.3652789890766144,1.2869373559951782
