split,pair_key,regime,subtask,template_id,context_id,subject,subject_class,direction,clean_side,corrupt_side,objective_clean_side,objective_corrupt_side,site,anchor_token_index,clean_verb,corrupt_verb,clean_source_zipf_regime,corrupt_source_zipf_regime,clean_inventory_source,corrupt_inventory_source,clean_suffix_lp,corrupt_suffix_lp,patched_suffix_lp,suffix_effect,signed_suffix_effect,clean_minus_corrupt_suffix_lp,signed_clean_minus_corrupt_suffix_lp,normalized_suffix_effect,clean_full_lp,corrupt_full_lp,patched_full_lp,full_effect,signed_full_effect,corrupt_prefix_lp,patched_prefix_lp,moves_toward_objective_clean
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|2|grow|disagree,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,disagree,grow,head,head,freqblimp_curated,freqblimp_curated,-22.425012588500977,-16.099266052246094,-16.055932998657227,0.04333305358886719,-0.04333305358886719,-6.325746536254883,6.325746536254883,-0.006850267132979729,-51.39354705810547,-44.59905242919922,-44.55571746826172,0.0433349609375,-0.0433349609375,-28.499784469604492,-28.499784469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|3|soak|compete,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,compete,soak,head,head,freqblimp_curated,freqblimp_curated,-17.93947982788086,-11.532254219055176,-11.450630187988281,0.08162403106689453,-0.08162403106689453,-6.407225608825684,6.407225608825684,-0.012739372085549924,-46.84551239013672,-41.71953582763672,-41.63791275024414,0.08162307739257812,-0.08162307739257812,-30.187284469604492,-30.187284469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|4|slow|react,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,react,slow,head,head,freqblimp_curated,freqblimp_curated,-18.74061393737793,-17.583826065063477,-17.693511962890625,-0.10968589782714844,0.10968589782714844,-1.1567878723144531,1.1567878723144531,0.09481937047601774,-46.39664840698242,-46.05236053466797,-46.16204833984375,-0.10968780517578125,0.10968780517578125,-28.468534469604492,-28.468534469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|5|move|die,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,die,move,head,head,freqblimp_curated,freqblimp_curated,-22.845260620117188,-13.459251403808594,-13.343528747558594,0.11572265625,-0.11572265625,-9.386009216308594,9.386009216308594,-0.012329271534160325,-47.56379699707031,-37.99028778076172,-37.87456130981445,0.11572647094726562,-0.11572647094726562,-24.53103256225586,-24.53103256225586,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|8|fade|disappear,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,disappear,fade,head,head,freqblimp_curated,freqblimp_curated,-17.131874084472656,-16.603073120117188,-16.594783782958984,0.008289337158203125,-0.008289337158203125,-0.5288009643554688,0.5288009643554688,-0.015675722468295076,-42.60041046142578,-45.94660949707031,-45.93832015991211,0.008289337158203125,-0.008289337158203125,-29.343534469604492,-29.343534469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|9|dim|laugh,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,laugh,dim,head,head,freqblimp_curated,freqblimp_curated,-23.053245544433594,-16.510589599609375,-16.51947593688965,-0.008886337280273438,0.008886337280273438,-6.542655944824219,6.542655944824219,0.0013582155863328354,-49.70928192138672,-45.3853759765625,-45.39426040649414,-0.008884429931640625,0.008884429931640625,-28.874784469604492,-28.874784469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|10|stretch|scream,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,scream,stretch,head,head,freqblimp_curated,freqblimp_curated,-20.44363784790039,-15.752595901489258,-15.708422660827637,0.044173240661621094,-0.044173240661621094,-4.691041946411133,4.691041946411133,-0.009416509416509417,-47.162174224853516,-44.09613037109375,-44.05195617675781,0.0441741943359375,-0.0441741943359375,-28.343534469604492,-28.343534469604492,0
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|11|bake|struggle,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,struggle,bake,head,head,freqblimp_curated,freqblimp_curated,-22.371074676513672,-16.796709060668945,-16.846900939941406,-0.05019187927246094,0.05019187927246094,-5.574365615844727,5.574365615844727,0.00900405225121836,-50.43335723876953,-43.07774353027344,-43.12793731689453,-0.05019378662109375,0.05019378662109375,-26.281034469604492,-26.281034469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|12|benefit|appear,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,appear,benefit,head,head,freqblimp_curated,freqblimp_curated,-20.960731506347656,-22.270721435546875,-22.306381225585938,-0.0356597900390625,0.0356597900390625,1.3099899291992188,-1.3099899291992188,-0.027221423038619012,-45.429264068603516,-51.4267578125,-51.46241760253906,-0.0356597900390625,0.0356597900390625,-29.156034469604492,-29.156034469604492,1
train,head|causative|object_frame_overlay_subject_tomorrow_s00|overlay_subject_tomorrow_s00_teacher|13|burn|respond,head,causative,object_frame_overlay_subject_tomorrow_s00,overlay_subject_tomorrow_s00_teacher,teacher,manual_animate_subject,bad_to_good,bad,good,bad,good,resid_post_layer_16,6,respond,burn,head,head,freqblimp_curated,freqblimp_curated,-20.272363662719727,-13.165831565856934,-13.16530990600586,0.0005216598510742188,-0.0005216598510742188,-7.106532096862793,7.106532096862793,-7.340568423021794e-05,-46.49089813232422,-39.25936508178711,-39.25884246826172,0.000522613525390625,-0.000522613525390625,-26.093534469604492,-26.093534469604492,0
