split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,-4.46085088149361,4.46085088149361,0.13646466017642486,1.6606288469478678,1.0,-3.6197681758714757,3.6197681758714757,4.46085088978643
eval,head,causative,good_to_bad,115,3.7072243441706116,3.7072243441706116,0.12507712741514124,1.599536845677829,1.0,3.6197681758714757,3.6197681758714757,3.707224870764691
eval,head,inchoative,bad_to_good,62,-2.855997893118089,2.855997893118089,0.15492632031806097,13.313738300577912,0.9838709677419355,-1.8837096152767059,1.8837096152767059,2.8559981007729807
eval,head,inchoative,good_to_bad,62,2.9428284072106883,2.9428284072106883,0.17795386938275756,9.076346034725775,0.9838709677419355,1.8837096152767059,1.8837096152767059,2.942828424515263
eval,low,causative,bad_to_good,280,-2.7081521102360315,2.7081521102360315,0.08935919221765909,2.2081234686128846,0.9642857142857143,-3.6306143522262575,3.6306143522262575,2.708152062552316
eval,low,causative,good_to_bad,280,3.170196073395865,3.170196073395865,0.09736292878518894,2.687882192533856,0.9642857142857143,3.6306143522262575,3.6306143522262575,3.1701958111354283
eval,low,inchoative,bad_to_good,280,-1.5075910712991443,1.5075910712991443,0.053651568429106025,0.8786568894377377,0.9535714285714286,-1.6275277376174926,1.6275277376174926,1.5075909614562988
eval,low,inchoative,good_to_bad,280,1.8543214806488582,1.8543214806488582,0.06673826951880672,1.0020557391454297,0.9535714285714286,1.6275277376174926,1.6275277376174926,1.8543215002332414
train,head,causative,bad_to_good,325,-4.565668381911058,4.565668381911058,0.0719210901308388,1.857214877061896,1.0,-3.859241421039288,3.859241421039288,4.565668370173528
train,head,causative,good_to_bad,325,3.9045645376352165,3.9045645376352165,0.0701944299661822,1.75246898479486,1.0,3.859241421039288,3.859241421039288,3.904564443734976
train,head,inchoative,bad_to_good,258,-3.062205250873122,3.062205250873122,0.07035051162278258,6.896953635621045,1.0,-1.9648544224657754,1.9648544224657754,3.062205203743868
train,head,inchoative,good_to_bad,258,3.107769346052362,3.107769346052362,0.08141559626051909,4.887073166301086,1.0,1.9648544224657754,1.9648544224657754,3.1077692120574243
