split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,0.08621986223303753,0.03327577839726987,0.03367269336438829,-0.003450206640444321,0.5304347826086957,-3.6197681758714757,-0.204064593107804,0.033275637419327445
eval,head,causative,good_to_bad,115,0.09514211571734885,0.031604866359544834,0.031874672616015634,0.04546616731698513,0.5217391304347826,3.6197681758714757,0.8296521062436311,0.031604833188264264
eval,head,inchoative,bad_to_good,62,-0.037904312533717004,-0.02451518658668764,0.03245023568690752,-1.47427741809672,0.46774193548387094,-1.8837096152767059,0.4789811795757663,-0.024515151977539062
eval,head,inchoative,good_to_bad,62,0.07452068021220545,0.11083630592592301,0.051287623614453506,-1.0763409324911177,0.6129032258064516,1.8837096152767059,0.4064884493427892,0.11083599828904675
eval,low,causative,bad_to_good,280,0.007394911561693464,-0.0003973501069205148,0.0097147008972016,-0.15346817271178917,0.5035714285714286,-3.6306143522262575,0.02836235591343471,-0.0003974505833217076
eval,low,causative,good_to_bad,280,-0.009276100567408971,-0.004428826059613909,0.010691295786722536,0.17894425142511863,0.48928571428571427,3.6306143522262575,0.16717449596949985,-0.004428958892822266
eval,low,inchoative,bad_to_good,280,-0.015711270911352975,-0.011943807772227696,0.007327818850399218,-0.0014546613259549363,0.4357142857142857,-1.6275277376174926,-0.09810049533843994,-0.011943912506103516
eval,low,inchoative,good_to_bad,280,0.06436468192509243,-0.008562610830579485,0.00948553229116714,0.10251440311610403,0.5,1.6275277376174926,0.06571721519742693,-0.008562564849853516
train,head,causative,bad_to_good,325,0.09017233628493089,0.15628764225886418,0.024422450810073815,-0.0570972691035451,0.6123076923076923,-3.859241421039288,-0.29220816979041464,0.15628758357121394
train,head,causative,good_to_bad,325,0.13090416248028094,0.1634671401977539,0.022730296563925313,0.041806508922916354,0.6430769230769231,3.859241421039288,0.15275586641751804,0.16346725463867187
train,head,inchoative,bad_to_good,258,0.026035879009453824,0.16313149485477182,0.02609120613935203,0.06555507920608765,0.6627906976744186,-1.9648544224657754,-0.15783334425253462,0.1631314477255178
train,head,inchoative,good_to_bad,258,0.12339438578879186,0.1838171167891155,0.029767995707789163,0.143316262900921,0.6201550387596899,1.9648544224657754,0.16990850784981898,0.18381719811018124
