split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,0.008627095429793648,-0.008627095429793648,0.0029629636901688404,0.007179954506220257,0.3739130434782609,-3.6197681758714757,3.6197681758714757,-0.008627352507218071
eval,head,causative,good_to_bad,115,-0.00909968666408373,-0.00909968666408373,0.002383514458026269,0.004679466480858106,0.3826086956521739,3.6197681758714757,3.6197681758714757,-0.00909931348717731
eval,head,inchoative,bad_to_good,62,-0.006558149091659054,0.006558149091659054,0.009425958171765558,0.9307464412925758,0.5806451612903226,-1.8837096152767059,1.8837096152767059,0.006558479801301033
eval,head,inchoative,good_to_bad,62,0.003690069721591088,0.003690069721591088,0.007295408704810672,0.9933796375636862,0.5645161290322581,1.8837096152767059,1.8837096152767059,0.0036903812039283013
eval,low,causative,bad_to_good,280,0.00035212550844464983,-0.00035212550844464983,0.0014189131400048182,-0.008320980037754446,0.5,-3.6306143522262575,3.6306143522262575,-0.00035230091639927455
eval,low,causative,good_to_bad,280,-0.0040244409016200475,-0.0040244409016200475,0.001565035344199441,-0.004648444853066795,0.39285714285714285,3.6306143522262575,3.6306143522262575,-0.004024355752127511
eval,low,inchoative,bad_to_good,280,0.010668181947299413,-0.010668181947299413,0.0025544811569047357,0.027480915214266814,0.42857142857142855,-1.6275277376174926,1.6275277376174926,-0.010668250492640904
eval,low,inchoative,good_to_bad,280,-0.009302496910095215,-0.009302496910095215,0.002495395207359644,0.03524864212374059,0.40714285714285714,1.6275277376174926,1.6275277376174926,-0.009302411760602678
train,head,causative,bad_to_good,325,0.007129369882436899,-0.007129369882436899,0.0015155592886463333,0.00025996342332021443,0.40615384615384614,-3.859241421039288,3.859241421039288,-0.007129610501802885
train,head,causative,good_to_bad,325,-0.006495425884540265,-0.006495425884540265,0.0016838893518720684,-0.006882369115620657,0.4553846153846154,3.859241421039288,3.859241421039288,-0.006495466965895432
train,head,inchoative,bad_to_good,258,-0.012654122456099636,0.012654122456099636,0.003539525340351757,-0.10369217939859633,0.5813953488372093,-1.9648544224657754,1.9648544224657754,0.01265406793402147
train,head,inchoative,good_to_bad,258,0.009249214054078095,0.009249214054078095,0.003162767687337473,-0.0018936379234332453,0.5697674418604651,1.9648544224657754,1.9648544224657754,0.009249221446902253
